#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
0	NR_075077	chr1	-	67092175	67134971	67134971	67134971	10	67092175,67096251,67103237,67111576,67113613,67115351,67125751,67127165,67131141,67134929,	67093604,67096321,67103382,67111644,67113756,67115464,67125909,67127257,67131227,67134971,	0	C1orf141	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1	NR_038261	chr1	-	41847188	42035925	42035925	42035925	4	41847188,41848870,41918412,42035806,	41848445,41849089,41918524,42035925,	0	HIVEP3	unk	unk	-1,-1,-1,-1,
2	NR_135089	chr1	-	92246397	92299009	92299009	92299009	18	92246397,92247061,92247877,92262862,92263622,92266418,92266699,92267912,92268104,92269722,92271464,92286489,92288913,92290197,92291417,92297403,92297960,92298924,	92246646,92247144,92247989,92262926,92263732,92266492,92266741,92268002,92268135,92269776,92271652,92286592,92289151,92290306,92291537,92297529,92298029,92299009,	0	GLMN	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
3	NR_126003	chr1	-	192935743	192948257	192948257	192948257	3	192935743,192937300,192948102,	192935903,192937420,192948257,	0	LINC01032	unk	unk	-1,-1,-1,
4	NR_134509	chr1	-	209661358	209724125	209724125	209724125	3	209661358,209662910,209724029,	209661567,209663061,209724125,	0	LOC101930114	unk	unk	-1,-1,-1,
4	NR_134510	chr1	-	209661358	209742562	209742562	209742562	3	209661358,209662910,209742496,	209661567,209663061,209742562,	0	LOC101930114	unk	unk	-1,-1,-1,
13	NR_132401	chr1	-	39841030	39883511	39883511	39883511	11	39841030,39844100,39844530,39847219,39847547,39847985,39850122,39852730,39853969,39857274,39883317,	39841913,39844218,39844640,39847297,39847660,39848097,39850261,39852876,39854066,39857417,39883511,	0	TRIT1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13	NR_132402	chr1	-	39841030	39883511	39883511	39883511	10	39841030,39844100,39844530,39847219,39847547,39847985,39850118,39853969,39857274,39883317,	39841913,39844218,39844640,39847297,39847660,39848097,39850261,39854066,39857417,39883511,	0	TRIT1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13	NR_132403	chr1	-	39841030	39883511	39883511	39883511	10	39841030,39844100,39844530,39847219,39847547,39847985,39850122,39853969,39857274,39883317,	39841913,39844218,39844640,39847297,39847660,39848097,39850261,39854066,39857417,39883511,	0	TRIT1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13	NR_132404	chr1	-	39841030	39883511	39883511	39883511	10	39841030,39844100,39844530,39847219,39847547,39847985,39850118,39853969,39857274,39883317,	39841913,39844218,39844640,39847297,39847656,39848097,39850261,39854066,39857417,39883511,	0	TRIT1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13	NR_132405	chr1	-	39841030	39883511	39883511	39883511	10	39841030,39844100,39844530,39847219,39847547,39847985,39850122,39853969,39857274,39883317,	39841913,39844218,39844640,39847297,39847656,39848097,39850261,39854066,39857417,39883511,	0	TRIT1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13	NR_132406	chr1	-	39841030	39883511	39883511	39883511	9	39841030,39844100,39844530,39847219,39847985,39850122,39853969,39857274,39883317,	39841913,39844218,39844640,39847297,39848097,39850261,39854066,39857417,39883511,	0	TRIT1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,
13	NR_132407	chr1	-	39841030	39883511	39883511	39883511	8	39841030,39844100,39844530,39847219,39847547,39847985,39850118,39883317,	39841913,39844218,39844640,39847297,39847660,39848097,39850261,39883511,	0	TRIT1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
