name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc064rsu.1	chr9	-	17479	17547	17479	17479	1	17479,	17547,		ENST00000611842.1
uc010mgm.2	chr9	-	14520	29739	14806	24999	11	14520,15080,15908,16717,16964,17343,17718,18027,18380,24850,29601,	14940,15149,16061,16876,17166,17479,17855,18174,18492,25004,29739,	A8K0Z3	ENST00000442898.4
uc033cjs.1	chr9	+	30143	30281	30143	30143	1	30143,	30281,		ENST00000408365.1
uc064rsv.1	chr9	+	27656	30891	27656	27656	2	27656,30757,	30445,30891,		ENST00000422679.1
uc003zfv.4	chr9	-	34393	35860	34393	34393	3	34393,35059,35503,	34957,35264,35860,		ENST00000449442.3
uc064rsw.1	chr9	-	34964	35871	34964	34964	2	34964,35503,	35264,35871,		ENST00000305248.5
uc003zfx.4	chr9	+	72674	75293	72674	72674	2	72674,74881,	72816,75293,		ENST00000620326.1
uc064rsz.1	chr9	+	72704	75327	72704	72704	3	72704,74148,74881,	72816,74205,75327,		ENST00000442069.2
uc064rtb.1	chr9	+	74138	87590	74138	74138	3	74138,79344,87283,	74205,79537,87590,		ENST00000622412.1
uc064rsx.1	chr9	+	72673	87667	72673	72673	4	72673,79344,80650,87283,	72816,79537,80807,87667,		ENST00000621255.4
uc064rta.1	chr9	+	72726	87739	72726	72726	3	72726,79344,87283,	72816,79537,87739,		ENST00000613372.4
uc064rtc.1	chr9	+	87660	88775	87660	87660	2	87660,88741,	88195,88775,		ENST00000614900.1
uc064rsy.1	chr9	+	72690	88826	72690	72690	3	72690,79344,88741,	72816,79537,88826,		ENST00000429980.5
uc064rtd.1	chr9	-	100803	102850	100803	100803	2	100803,102739,	101304,102850,		ENST00000435421.1
uc064rte.1	chr9	-	100993	102941	100993	100993	3	100993,102472,102739,	101304,102541,102941,		ENST00000427318.2
uc064rtf.1	chr9	-	112712	113754	112712	112712	2	112712,113693,	113067,113754,		ENST00000416242.2
uc003zfz.5	chr9	-	116230	118204	116799	118119	1	116230,	118204,	Q12950	ENST00000382500.3
uc064rtp.1	chr9	-	121410	123747	121410	121410	4	121410,121960,123216,123385,	121573,122090,123282,123747,		ENST00000464198.5
uc064rth.1	chr9	-	121051	146140	123162	146140	4	121051,123385,134978,146101,	123282,123454,135030,146140,	A0A087WU37	ENST00000475990.5
uc064rtq.1	chr9	-	121502	146154	121502	121502	6	121502,121960,123216,123385,134978,146101,	121573,122136,123282,123454,135030,146154,		ENST00000462513.5
uc064rtl.1	chr9	-	121090	148625	121090	121090	6	121090,121960,123216,123385,134978,146101,	121573,122090,123282,123454,135030,148625,		ENST00000611457.4
uc064rtj.1	chr9	-	121088	149446	121088	121088	5	121088,123216,123385,134978,146101,	122090,123282,123454,135030,149446,		ENST00000475411.5
uc064rtx.1	chr9	-	151744	161647	161589	161647	4	151744,154708,156480,161566,	152078,154795,156527,161647,	A0A087X1Y1	ENST00000489272.5
uc064rti.1	chr9	-	121057	164009	161639	164009	12	121057,121960,123216,123385,134978,146101,152033,154708,156480,161566,162431,163977,	121573,122090,123282,123454,135030,146158,152078,154795,156527,161654,162469,164009,	A0A087X0Y9	ENST00000619157.4
uc064rtu.1	chr9	-	147949	164039	161639	164039	8	147949,151304,152033,154708,156480,161566,162431,163977,	148044,151427,152078,154795,156527,161654,162469,164039,	A0A087WWK6	ENST00000618361.4
uc064rtv.1	chr9	-	150131	164039	161639	164039	5	150131,156480,161566,162431,163977,	152078,156527,161654,162469,164039,	A0A087WWK6	ENST00000618061.4
uc064rto.1	chr9	-	121409	166599	121409	121409	15	121409,121960,123216,123385,134978,146101,150508,152033,154708,156480,160000,161566,162431,163977,165982,	121573,122090,123282,123454,135030,146158,150725,152078,154795,156527,160140,161654,162469,164037,166599,		ENST00000487575.6
uc010mgs.4	chr9	-	121417	167605	121417	121417	13	121417,121960,123216,123385,134978,146101,151304,152033,154708,156480,162431,163977,165982,	121573,122090,123282,123454,135030,146158,151427,152078,154795,156527,162469,164037,167605,		ENST00000495302.5
uc064rtt.1	chr9	-	146113	172172	146113	146113	9	146113,150641,152033,154708,156480,160000,162431,163977,172080,	146158,150725,152078,154795,156527,160140,162469,164037,172172,		ENST00000498044.6
uc064rua.1	chr9	-	154731	172179	154731	154731	6	154731,156480,160000,162431,163977,172080,	154795,156527,160140,162469,164037,172179,		ENST00000620292.4
uc064rty.1	chr9	-	152033	173325	164443	173325	8	152033,154708,156480,161566,162431,164402,172080,173269,	152078,154795,156527,161654,162469,164448,172172,173325,	A0A087WVU7	ENST00000616803.4
uc064ruc.1	chr9	-	171595	173371	171595	171595	2	171595,173269,	172172,173371,		ENST00000483817.3
uc064rtn.1	chr9	-	121406	179008	121466	178969	13	121406,121960,123216,123385,134978,152033,156480,162431,163977,172080,173269,175697,178815,	121573,122090,123282,123454,135030,152078,156527,162469,164037,172172,173366,175784,179008,	A0A087X140	ENST00000613508.4
uc064rtk.1	chr9	-	121088	179012	161639	178969	16	121088,121960,123216,123385,134978,146101,151304,152033,156480,160000,161566,162431,172080,173269,175697,178815,	121573,122090,123282,123454,135030,146158,151427,152078,156527,160140,161654,162469,172172,173366,175784,179012,	A0A087WTC0	ENST00000612045.4
uc064rts.1	chr9	-	122842	179016	177797	178969	13	122842,123385,134978,152033,154708,156480,162431,163977,172080,173269,175697,177722,178815,	123282,123454,135030,152078,154795,156527,162469,164037,172172,173366,175784,177820,179016,	A0A087WY70	ENST00000613355.4
uc064rub.1	chr9	-	160087	179018	160087	160087	8	160087,162431,163977,172080,173269,175697,177722,178815,	160140,162469,164037,172172,173366,175784,177820,179018,		ENST00000431099.3
uc003zgc.5	chr9	-	121408	179021	121466	178969	14	121408,121960,123216,123385,134978,152033,154708,156480,162431,163977,172080,173269,175697,178815,	121573,122090,123282,123454,135030,152078,154795,156527,162469,164037,172172,173366,175784,179021,	Q9BRT8	ENST00000382447.8
uc064rud.1	chr9	-	171952	179023	173265	177768	4	171952,175697,177722,178815,	173366,175784,177820,179023,	A0A0B4J1T6	ENST00000382389.5
uc064rtz.1	chr9	-	152913	179025	154617	178969	8	152913,156480,162431,163977,172080,173269,175697,178815,	154795,156527,162469,164037,172172,173366,175784,179025,	F2Z2T4	ENST00000377447.7
uc064rtm.1	chr9	-	121223	179042	161639	178969	15	121223,121960,123216,123385,134978,146101,147900,152033,156480,161566,162431,172080,173269,175697,178815,	121573,122090,123282,123454,135030,146158,148040,152078,156527,161654,162469,172172,173366,175784,179042,	A0A087WTC0	ENST00000465014.6
uc003zgd.3	chr9	-	171952	179045	173265	178969	3	171952,175697,178815,	173366,175784,179045,	Q9BRT8	ENST00000382393.2
uc003zgb.5	chr9	-	121059	179047	121466	177768	16	121059,121960,123216,123385,134978,146101,152033,154708,156480,162431,163977,172080,173269,175697,177722,178815,	121573,122090,123282,123454,135030,146158,152078,154795,156527,162469,164037,172172,173366,175784,177820,179047,	Q9BRT8	ENST00000314367.14
uc064rtr.1	chr9	-	122690	179052	161639	178969	14	122690,123385,134978,146101,152033,154708,156480,161566,162431,163977,172080,173269,175697,178815,	123282,123454,135030,146158,152078,154795,156527,161654,162469,164037,172172,173366,175784,179052,	A0A087WZQ3	ENST00000616944.4
uc003zga.5	chr9	-	121037	179058	121466	178969	15	121037,121960,123216,123385,134978,146101,152033,154708,156480,162431,163977,172080,173269,175697,178815,	121573,122090,123282,123454,135030,146158,152078,154795,156527,162469,164037,172172,173366,175784,179058,	Q9BRT8	ENST00000356521.8
uc064rtw.1	chr9	-	151576	179088	151576	151576	10	151576,154708,156480,162431,163977,172080,173269,175697,177722,178815,	152078,154795,156527,162469,164037,172172,173366,175784,177820,179088,		ENST00000613988.4
uc064rtg.1	chr9	-	121040	179147	121466	178969	15	121040,121960,123216,123385,134978,146101,152033,154708,156480,162431,163977,172080,173269,175697,178815,	121573,122090,123282,123454,135030,146158,152078,154795,156527,162469,164037,172172,173366,175784,179147,	Q9BRT8	ENST00000377400.8
uc003zge.5	chr9	-	212823	215741	214508	215396	1	212823,	215741,	Q5T8R8	ENST00000382387.3
uc064rui.1	chr9	-	267965	273002	267965	267965	2	267965,272904,	268273,273002,		ENST00000429661.1
uc064rue.1	chr9	+	214853	286636	214976	277038	5	214853,271626,276993,284374,286460,	215029,271729,277086,284567,286636,	F8WC95	ENST00000469197.5
