#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	NM_001242480	chrUn_GL000195v1	-	42937	86735	44723	49117	4	42937,48954,74120,86517,	44923,49119,74180,86735,	0	LOC389831	cmpl	cmpl	1,0,-1,-1,
585	NM_001347680	chrUn_GL000195v1	-	42937	86735	46775	49117	3	42937,48954,86517,	46801,49119,86735,	0	LOC389831	cmpl	cmpl	1,0,-1,
585	NM_001347681	chrUn_GL000195v1	-	42937	86735	44723	49117	3	42937,48954,86517,	44923,49119,86735,	0	LOC389831	cmpl	cmpl	1,0,-1,
585	NM_001347682	chrUn_GL000195v1	-	42937	86735	46775	49117	4	42937,48954,74120,86517,	46801,49119,74180,86735,	0	LOC389831	cmpl	cmpl	1,0,-1,-1,
585	NR_144628	chrUn_GL000195v1	-	42937	86735	86735	86735	2	42937,86517,	44923,86735,	0	LOC389831	unk	unk	-1,-1,
73	NM_001257362	chrUn_GL000213v1	-	108006	139339	108025	139287	11	108006,109883,118421,119628,121072,126647,129227,131063,133942,134275,138766,	108247,110007,118588,119673,121143,126718,129365,131170,134116,134390,139339,	0	LOC100288966	cmpl	cmpl	0,2,0,0,1,2,2,0,0,2,0,
585	NR_128718	chrUn_GL000213v1	-	25282	25368	25368	25368	1	25282,	25368,	0	MIR8069-2	unk	unk	-1,
585	NR_036061	chrUn_GL000213v1	+	104741	104817	104817	104817	1	104741,	104817,	0	MIR3118-1	unk	unk	-1,
585	NR_107036	chrUn_GL000213v1	-	25282	25368	25368	25368	1	25282,	25368,	0	MIR8069-1	unk	unk	-1,
585	NR_037871	chrUn_GL000218v1	-	38785	97454	97454	97454	5	38785,39873,40641,95173,97367,	39019,40028,40872,95232,97454,	0	LOC100233156	unk	unk	-1,-1,-1,-1,-1,
585	NR_037872	chrUn_GL000218v1	-	38785	97454	97454	97454	4	38785,40641,95173,97367,	40028,40872,95232,97454,	0	LOC100233156	unk	unk	-1,-1,-1,-1,
585	NR_027420	chrUn_GL000218v1	-	46844	55049	55049	55049	1	46844,	55049,	0	LOC389834	unk	unk	-1,
585	NR_027436	chrUn_GL000219v1	-	56348	99642	99642	99642	7	56348,78841,79936,83212,88294,97293,99125,	58989,78952,80028,83317,88420,97363,99642,	0	LOC283788	unk	unk	-1,-1,-1,-1,-1,-1,-1,
585	NR_128717	chrUn_GL000220v1	+	104731	104823	104823	104823	1	104731,	104823,	0	MIR6724-4	unk	unk	-1,
585	NR_128716	chrUn_GL000220v1	+	104731	104823	104823	104823	1	104731,	104823,	0	MIR6724-3	unk	unk	-1,
585	NR_128715	chrUn_GL000220v1	+	104731	104823	104823	104823	1	104731,	104823,	0	MIR6724-2	unk	unk	-1,
585	NR_106782	chrUn_GL000220v1	+	104731	104823	104823	104823	1	104731,	104823,	0	MIR6724-1	unk	unk	-1,
585	NR_038958	chrUn_GL000220v1	+	97128	126696	126696	126696	7	97128,100238,121604,121828,122990,124777,125783,	97436,100554,121701,122829,123082,124995,126696,	0	LOC100507412	unk	unk	-1,-1,-1,-1,-1,-1,-1,
585	NR_046235	chrUn_GL000220v1	+	105423	118780	118780	118780	1	105423,	118780,	0	RNA45S5	unk	unk	-1,
585	NR_003286	chrUn_GL000220v1	+	109077	110946	110946	110946	1	109077,	110946,	0	RNA18S5	unk	unk	-1,
585	NR_003285	chrUn_GL000220v1	+	112024	112180	112180	112180	1	112024,	112180,	0	RNA5-8S5	unk	unk	-1,
585	NR_003287	chrUn_GL000220v1	+	113347	118417	118417	118417	1	113347,	118417,	0	RNA28S5	unk	unk	-1,
586	NR_128717	chrUn_GL000220v1	+	148703	148795	148795	148795	1	148703,	148795,	0	MIR6724-4	unk	unk	-1,
586	NR_128716	chrUn_GL000220v1	+	148703	148795	148795	148795	1	148703,	148795,	0	MIR6724-3	unk	unk	-1,
586	NR_128715	chrUn_GL000220v1	+	148703	148795	148795	148795	1	148703,	148795,	0	MIR6724-2	unk	unk	-1,
586	NR_106782	chrUn_GL000220v1	+	148703	148795	148795	148795	1	148703,	148795,	0	MIR6724-1	unk	unk	-1,
586	NR_003286	chrUn_GL000220v1	+	153049	154918	154918	154918	1	153049,	154918,	0	RNA18S5	unk	unk	-1,
586	NR_003285	chrUn_GL000220v1	+	155996	156152	156152	156152	1	155996,	156152,	0	RNA5-8S5	unk	unk	-1,
585	NR_135481	chrUn_GL000224v1	+	102502	109538	109538	109538	3	102502,106077,108936,	102591,106136,109538,	0	LOC100505874	unk	unk	-1,-1,-1,
585	NR_135481	chrUn_KI270741v1	+	44380	51408	51408	51408	3	44380,47948,50806,	44469,48007,51408,	0	LOC100505874	unk	unk	-1,-1,-1,
585	NR_135482	chrUn_KI270741v1	+	44380	130836	130836	130836	4	44380,47948,52058,130639,	44469,48007,52136,130836,	0	LOC100505874	unk	unk	-1,-1,-1,-1,
585	NR_135513	chrUn_KI270753v1	-	41865	59598	59598	59598	4	41865,43417,44201,59448,	42256,43541,44399,59598,	0	LOC105379514	unk	unk	-1,-1,-1,-1,
