#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1	NM_033031	chrX	+	50284539	50351912	50285163	50351703	12	50284539,50285126,50288779,50294862,50308504,50312536,50313855,50342201,50346651,50347625,50351240,50351606,	50284616,50285259,50288887,50294993,50311496,50312632,50313948,50342339,50346807,50347775,50351371,50351912,	0	CCNB3	cmpl	cmpl	-1,0,0,0,2,0,0,0,0,0,0,2,
1	NM_033670	chrX	+	50284539	50351912	50285163	50351703	8	50284539,50285126,50288779,50342201,50346651,50347625,50351240,50351606,	50284616,50285259,50288887,50342339,50346807,50347775,50351371,50351912,	0	CCNB3	cmpl	cmpl	-1,0,0,0,0,0,0,2,
2	NM_001168363	chrX	+	91835460	92623229	91835504	92618940	5	91835460,91876780,92201374,92387734,92618263,	91836044,91879273,92201455,92387933,92623229,	0	PCDH11X	cmpl	cmpl	0,0,0,0,1,
2	NM_001168362	chrX	+	91835460	92623229	91835504	92618940	5	91835460,91876780,92387734,92468298,92618263,	91836044,91879273,92387933,92468322,92623229,	0	PCDH11X	cmpl	cmpl	0,0,0,1,1,
2	NM_001168361	chrX	+	91835460	92623229	91835504	92468316	7	91835460,91876780,92201374,92263113,92287966,92468298,92618263,	91836044,91879273,92201455,92263143,92288002,92468322,92623229,	0	PCDH11X	cmpl	cmpl	0,0,0,0,0,0,-1,
2	NM_001168360	chrX	+	91835460	92623229	91835504	92618940	6	91835460,91876780,92201374,92263113,92387734,92618263,	91836044,91879273,92201455,92263143,92387933,92623229,	0	PCDH11X	cmpl	cmpl	0,0,0,0,0,1,
2	NM_032968	chrX	+	91835460	92623229	91835504	92618940	7	91835460,91876780,92201374,92263113,92387734,92468298,92618263,	91836044,91879273,92201455,92263143,92387933,92468322,92623229,	0	PCDH11X	cmpl	cmpl	0,0,0,0,0,1,1,
2	NM_032969	chrX	+	91835460	92623229	91835504	92618940	6	91835460,91876780,92201374,92387734,92468298,92618263,	91836044,91879273,92201455,92387933,92468322,92623229,	0	PCDH11X	cmpl	cmpl	0,0,0,0,1,1,
2	NM_001146256	chrX	-	75368426	75523502	75379151	75523024	11	75368426,75379119,75417086,75421863,75424651,75429077,75429947,75431450,75450801,75478890,75522888,	75372945,75379198,75417190,75421990,75424784,75429198,75429980,75431520,75450922,75478985,75523502,	0	ZDHHC15	cmpl	cmpl	-1,1,2,1,0,2,2,1,0,1,0,
2	NM_144969	chrX	-	75368426	75523502	75379151	75523024	12	75368426,75379119,75417086,75421863,75424651,75429077,75429947,75431450,75450801,75478890,75505820,75522888,	75372945,75379198,75417190,75421990,75424784,75429198,75429980,75431520,75450922,75478985,75505847,75523502,	0	ZDHHC15	cmpl	cmpl	-1,1,2,1,0,2,2,1,0,1,1,0,
2	NM_001146257	chrX	-	75450319	75523502	75450721	75523024	3	75450319,75478890,75522888,	75450922,75478985,75523502,	0	ZDHHC15	cmpl	cmpl	0,1,0,
2	NM_001271680	chrX	+	83861125	83886700	83861182	83886584	4	83861125,83869864,83871451,83886551,	83861196,83869905,83871570,83886700,	0	CYLC1	cmpl	cmpl	0,2,1,0,
2	NM_021118	chrX	+	83861125	83886700	83861182	83886584	5	83861125,83869864,83871451,83872885,83886551,	83861199,83869905,83871570,83874631,83886700,	0	CYLC1	cmpl	cmpl	0,2,1,0,0,
2	NM_014467	chrX	+	100644165	100671299	100646322	100670987	11	100644165,100646192,100650784,100662175,100664773,100665242,100665535,100666753,100667273,100669247,100670806,	100644515,100646404,100650865,100662367,100664950,100665369,100665657,100666933,100667407,100669369,100671299,	0	SRPX2	cmpl	cmpl	-1,0,1,1,1,1,2,1,1,0,2,
9	NM_000351	chrX	+	7219430	7354643	7219675	7350261	10	7219430,7253195,7257241,7257465,7259348,7275950,7305045,7325338,7333985,7349887,	7219686,7253336,7257363,7257588,7259772,7276087,7305183,7325498,7334107,7354643,	0	STS	cmpl	cmpl	0,2,2,1,1,2,1,1,2,1,
9	NM_001320754	chrX	+	7252472	7354643	7253199	7350261	10	7252472,7253195,7257241,7257465,7259348,7275950,7305045,7325338,7333985,7349887,	7252718,7253336,7257363,7257588,7259772,7276087,7305183,7325498,7334107,7354643,	0	STS	cmpl	cmpl	-1,0,2,1,1,2,1,1,2,1,
9	NM_001320752	chrX	+	7147892	7354643	7190976	7350261	11	7147892,7190879,7253195,7257241,7257465,7259348,7275950,7305045,7325338,7333985,7349887,	7148083,7191008,7253336,7257363,7257588,7259772,7276087,7305183,7325498,7334107,7354643,	0	STS	cmpl	cmpl	-1,0,2,2,1,1,2,1,1,2,1,
9	NM_001320750	chrX	+	7147251	7354643	7190976	7350261	11	7147251,7190879,7253195,7257241,7257465,7259348,7275950,7305045,7325338,7333985,7349887,	7147602,7191008,7253336,7257363,7257588,7259772,7276087,7305183,7325498,7334107,7354643,	0	STS	cmpl	cmpl	-1,0,2,2,1,1,2,1,1,2,1,
9	NM_001320751	chrX	+	7147892	7354643	7190976	7350261	12	7147892,7159899,7190879,7253195,7257241,7257465,7259348,7275950,7305045,7325338,7333985,7349887,	7148083,7160053,7191008,7253336,7257363,7257588,7259772,7276087,7305183,7325498,7334107,7354643,	0	STS	cmpl	cmpl	-1,-1,0,2,2,1,1,2,1,1,2,1,
9	NM_001320753	chrX	+	7252243	7354643	7253199	7350261	10	7252243,7253195,7257241,7257465,7259348,7275950,7305045,7325338,7333985,7349887,	7252341,7253336,7257363,7257588,7259772,7276087,7305183,7325498,7334107,7354643,	0	STS	cmpl	cmpl	-1,0,2,1,1,2,1,1,2,1,
10	NM_001193280	chrX	-	10469264	10567603	10469511	10567547	6	10469264,10474622,10482479,10495583,10523091,10567001,	10469840,10474750,10482628,10495691,10523187,10567603,	0	MID1	cmpl	cmpl	1,2,0,0,0,0,
10	NM_000381	chrX	-	10445309	10620634	10449367	10567547	10	10445309,10454869,10459645,10469696,10474622,10482479,10495583,10523091,10566887,10620289,	10449716,10455077,10459807,10469840,10474750,10482628,10495691,10523187,10567603,10620634,	0	MID1	cmpl	cmpl	2,1,1,1,2,0,0,0,0,-1,
10	NM_033290	chrX	-	10445309	10833690	10449367	10567547	10	10445309,10454869,10459645,10469696,10474622,10482479,10495583,10523091,10566887,10833553,	10449716,10455077,10459807,10469840,10474750,10482628,10495691,10523187,10567603,10833690,	0	MID1	cmpl	cmpl	2,1,1,1,2,0,0,0,0,-1,
10	NM_006125	chrX	-	11143396	11665701	11143857	11664828	11	11143396,11156528,11169504,11178099,11179301,11182062,11186235,11188727,11196924,11254547,11664240,	11144248,11156626,11169684,11178248,11179452,11182118,11186431,11188984,11196996,11254707,11665701,	0	ARHGAP6	cmpl	cmpl	2,0,0,1,0,1,0,1,1,0,0,
10	NM_001167890	chrX	+	13569574	13633575	13569861	13633095	12	13569574,13589555,13594835,13599974,13603316,13606378,13608323,13617729,13619162,13623820,13627010,13632984,	13569935,13589668,13594928,13600094,13603436,13606513,13608446,13618053,13619243,13623925,13627276,13633575,	0	EGFL6	cmpl	cmpl	0,2,1,1,1,1,1,1,1,1,1,0,
10	NM_001098624	chrX	-	10445309	10677739	10449367	10567547	10	10445309,10454869,10459645,10469696,10474622,10482479,10495583,10523091,10566887,10677464,	10449716,10455077,10459807,10469840,10474750,10482628,10495691,10523187,10567603,10677739,	0	MID1	cmpl	cmpl	2,1,1,1,2,0,0,0,0,-1,
