name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc064xpo.1	chrUn_GL000195v1	-	37433	37534	37433	37433	1	37433,	37534,		ENST00000618679.1
uc064xpp.1	chrUn_GL000195v1	-	42938	49164	44723	49117	2	42938,48954,	44923,49164,		ENST00000612465.1
uc064xpq.1	chrUn_GL000195v1	+	173871	179372	173967	178363	4	173871,178159,178181,178345,	174130,178179,178343,179372,		ENST00000611619.1
uc033dmq.1	chrUn_GL000213v1	-	25282	25368	25282	25282	1	25282,	25368,		ENST00000621528.1
uc033dmt.1	chrUn_GL000213v1	+	104741	104817	104741	104741	1	104741,	104817,		ENST00000618790.1
uc011mfl.3	chrUn_GL000213v1	-	108006	139655	108025	139287	11	108006,109883,118421,119628,121072,126647,129227,131063,133942,134275,138766,	108247,110007,118588,119673,121143,126718,129365,131170,134116,134390,139655,		ENST00000616049.4
uc064xpr.1	chrUn_GL000213v1	-	123982	139659	125192	139287	8	123982,124991,126647,129227,131063,133942,134275,138766,	124252,125212,126718,129365,131170,134116,134390,139659,		ENST00000616157.1
uc064xps.1	chrUn_GL000213v1	-	127839	127946	127839	127839	1	127839,	127946,		ENST00000616468.1
uc064xpt.1	chrUn_GL000216v2	-	93196	93309	93196	93196	1	93196,	93309,		ENST00000611062.1
uc064xpu.1	chrUn_GL000216v2	+	144571	144655	144571	144571	1	144571,	144655,		ENST00000620321.1
uc064xpv.1	chrUn_GL000216v2	+	171819	171902	171819	171819	1	171819,	171902,		ENST00000617824.1
uc064xpw.1	chrUn_GL000218v1	-	51866	54893	53482	54214	1	51866,	54893,	Q6ZW97	ENST00000612565.1
uc064xpx.1	chrUn_GL000219v1	-	47190	47266	47190	47190	1	47190,	47266,		ENST00000612537.1
uc064xpy.1	chrUn_GL000219v1	-	54223	83311	54223	83311	4	54223,78841,79936,83212,	54293,78952,80028,83311,		ENST00000612919.1
uc033dmw.2	chrUn_GL000219v1	+	163852	163928	163852	163852	1	163852,	163928,		ENST00000610742.1
uc064xpz.1	chrUn_GL000219v1	+	164277	164360	164277	164277	1	164277,	164360,		ENST00000613331.1
uc033dmz.2	chrUn_GL000219v1	+	168105	168180	168105	168105	1	168105,	168180,		ENST00000613025.1
uc033dnb.2	chrUn_GL000219v1	+	171363	171439	171363	171363	1	171363,	171439,		ENST00000611096.1
uc064xqa.1	chrUn_GL000219v1	+	173993	174069	173993	173993	1	173993,	174069,		ENST00000617945.1
uc064xqb.1	chrUn_GL000220v1	+	100713	100791	100713	100713	1	100713,	100791,		ENST00000612604.1
uc064xqc.1	chrUn_GL000220v1	+	104731	104823	104731	104731	1	104731,	104823,		ENST00000620497.1
uc064xqd.1	chrUn_GL000220v1	+	105286	105376	105286	105286	1	105286,	105376,		ENST00000619317.1
uc064xqe.1	chrUn_GL000220v1	+	107447	107561	107447	107447	1	107447,	107561,		ENST00000614928.1
uc064xqf.1	chrUn_GL000220v1	+	107908	108088	107908	107908	1	107908,	108088,		ENST00000611431.1
uc064xqg.1	chrUn_GL000220v1	+	108279	108340	108279	108279	1	108279,	108340,		ENST00000615115.1
uc064xqh.1	chrUn_GL000220v1	+	112024	112177	112024	112024	1	112024,	112177,		ENST00000611446.1
uc064xqi.1	chrUn_GL000220v1	+	114150	114242	114150	114150	1	114150,	114242,		ENST00000617883.1
uc064xqj.1	chrUn_GL000220v1	+	117427	117476	117427	117427	1	117427,	117476,		ENST00000615476.1
uc064xqk.1	chrUn_GL000220v1	+	118196	118253	118196	118196	1	118196,	118253,		ENST00000614470.1
