#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	ENST00000618679.1	chrUn_GL000195v1	-	37433	37534	37433	37433	1	37433,	37534,	0	Y_RNA	none	none	-1,
585	ENST00000612465.1	chrUn_GL000195v1	-	42938	49164	44723	49117	2	42938,48954,	44923,49164,	0	AC011043.1	cmpl	cmpl	1,0,
586	ENST00000611619.1	chrUn_GL000195v1	+	173871	179372	173967	178363	4	173871,178159,178181,178345,	174130,178179,178343,179372,	0	AC011043.2	cmpl	cmpl	0,1,0,0,
73	ENST00000616049.4	chrUn_GL000213v1	-	108006	139655	108025	139287	11	108006,109883,118421,119628,121072,126647,129227,131063,133942,134275,138766,	108247,110007,118588,119673,121143,126718,129365,131170,134116,134390,139655,	0	BX072566.1	cmpl	cmpl	0,2,0,0,1,2,2,0,0,2,0,
73	ENST00000616157.1	chrUn_GL000213v1	-	123982	139659	125192	139287	8	123982,124991,126647,129227,131063,133942,134275,138766,	124252,125212,126718,129365,131170,134116,134390,139659,	0	BX072566.1	cmpl	cmpl	-1,1,2,2,0,0,2,0,
585	ENST00000621528.1	chrUn_GL000213v1	-	25282	25368	25282	25282	1	25282,	25368,	0	hsa-mir-8069-1	none	none	-1,
585	ENST00000618790.1	chrUn_GL000213v1	+	104741	104817	104741	104741	1	104741,	104817,	0	hsa-mir-3118-1	none	none	-1,
585	ENST00000616468.1	chrUn_GL000213v1	-	127839	127946	127839	127839	1	127839,	127946,	0	U6	none	none	-1,
585	ENST00000611062.1	chrUn_GL000216v2	-	93196	93309	93196	93196	1	93196,	93309,	0	U2	none	none	-1,
586	ENST00000620321.1	chrUn_GL000216v2	+	144571	144655	144571	144571	1	144571,	144655,	0	BX546479.2	none	none	-1,
586	ENST00000617824.1	chrUn_GL000216v2	+	171819	171902	171819	171819	1	171819,	171902,	0	BX546479.1	none	none	-1,
585	ENST00000612565.1	chrUn_GL000218v1	-	51866	54893	53482	54214	1	51866,	54893,	0	AL354822.1	cmpl	cmpl	0,
585	ENST00000612537.1	chrUn_GL000219v1	-	47190	47266	47190	47190	1	47190,	47266,	0	AL592183.3	none	none	-1,
585	ENST00000612919.1	chrUn_GL000219v1	-	54223	83311	54223	83311	4	54223,78841,79936,83212,	54293,78952,80028,83311,	0	AL592183.1	cmpl	cmpl	2,2,0,0,
586	ENST00000610742.1	chrUn_GL000219v1	+	163852	163928	163852	163852	1	163852,	163928,	0	AL592183.2	none	none	-1,
586	ENST00000613331.1	chrUn_GL000219v1	+	164277	164360	164277	164277	1	164277,	164360,	0	AL592183.6	none	none	-1,
586	ENST00000613025.1	chrUn_GL000219v1	+	168105	168180	168105	168105	1	168105,	168180,	0	AL592183.5	none	none	-1,
586	ENST00000611096.1	chrUn_GL000219v1	+	171363	171439	171363	171363	1	171363,	171439,	0	AL592183.4	none	none	-1,
586	ENST00000617945.1	chrUn_GL000219v1	+	173993	174069	173993	173993	1	173993,	174069,	0	AL592183.7	none	none	-1,
585	ENST00000612604.1	chrUn_GL000220v1	+	100713	100791	100713	100713	1	100713,	100791,	0	AL592188.5	none	none	-1,
585	ENST00000620497.1	chrUn_GL000220v1	+	104731	104823	104731	104731	1	104731,	104823,	0	hsa-mir-6724-1	none	none	-1,
585	ENST00000619317.1	chrUn_GL000220v1	+	105286	105376	105286	105286	1	105286,	105376,	0	pRNA	none	none	-1,
585	ENST00000614928.1	chrUn_GL000220v1	+	107447	107561	107447	107447	1	107447,	107561,	0	AL592188.9	none	none	-1,
585	ENST00000611431.1	chrUn_GL000220v1	+	107908	108088	107908	107908	1	107908,	108088,	0	AL592188.10	none	none	-1,
