#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
0	ENST00000623711.3	chr3	-	134157132	134250744	134158152	134250654	15	134157132,134159236,134175608,134175929,134177940,134183001,134188836,134191848,134195081,134202729,134207471,134209694,134211507,134222417,134250422,	134158264,134159373,134175768,134176039,134178073,134183071,134188923,134191974,134195182,134202874,134207525,134209829,134211607,134222539,134250744,	0	RYK	cmpl	cmpl	2,0,2,0,2,1,1,1,2,1,1,1,0,1,0,
0	ENST00000620660.4	chr3	-	134157133	134250744	134158152	134250654	15	134157133,134159236,134175608,134175929,134177940,134183001,134188836,134191848,134195081,134202729,134207471,134209694,134211507,134222417,134250422,	134158264,134159373,134175768,134176039,134178073,134183071,134188923,134191983,134195182,134202874,134207525,134209829,134211607,134222539,134250744,	0	RYK	cmpl	cmpl	2,0,2,0,2,1,1,1,2,1,1,1,0,1,0,
1	ENST00000446281.5	chr3	-	7954638	8501598	7954638	7954638	6	7954638,7955309,7992225,8494680,8498549,8501470,	7954822,7955466,7992302,8494766,8498849,8501598,	0	LMCD1-AS1	none	none	-1,-1,-1,-1,-1,-1,
1	ENST00000420095.1	chr3	-	8221146	8501655	8221146	8221146	4	8221146,8494680,8498549,8501470,	8222719,8494766,8498849,8501655,	0	LMCD1-AS1	none	none	-1,-1,-1,-1,
1	ENST00000455576.1	chr3	+	24687918	25174305	24687918	24687918	6	24687918,24762239,24833088,24858673,25060124,25174118,	24687995,24762294,24833222,24858752,25060176,25174305,	0	AC133680.1	none	none	-1,-1,-1,-1,-1,-1,
1	ENST00000468888.6	chr3	-	33496244	33718049	33498630	33718002	39	33496244,33501651,33510557,33516022,33516980,33535232,33538788,33543432,33544697,33551251,33559306,33560807,33570726,33573109,33574472,33576168,33581820,33584749,33592394,33594950,33596710,33602951,33604153,33606590,33607383,33608566,33612000,33619602,33622134,33626987,33632291,33644756,33663444,33684358,33687059,33688276,33689828,33696854,33717807,	33498717,33501768,33510764,33516151,33517174,33535461,33538942,33543539,33544841,33551395,33559385,33560971,33570790,33573354,33574496,33576275,33581928,33584920,33592496,33594968,33596734,33603125,33604209,33606758,33607461,33608626,33612071,33619738,33622280,33627080,33632374,33644903,33663515,33684456,33687135,33688368,33689932,33696933,33718049,	0	CLASP2	cmpl	cmpl	0,0,0,0,1,0,2,0,0,0,2,0,2,0,0,1,1,1,1,1,1,1,2,2,2,2,0,2,0,0,1,1,2,0,2,0,1,0,0,
1	ENST00000399362.8	chr3	-	33496244	33718356	33498630	33718002	39	33496244,33501651,33510557,33516022,33516980,33535232,33538788,33543432,33544697,33551251,33559306,33560807,33570726,33573109,33574472,33576168,33581820,33584749,33592394,33594950,33596710,33602951,33604153,33606590,33607383,33608566,33612000,33619602,33622134,33626987,33632291,33644756,33663444,33684358,33687059,33688276,33689828,33696854,33717807,	33498717,33501768,33510764,33516151,33517174,33535461,33538942,33543539,33544841,33551395,33559385,33560971,33570790,33573354,33574496,33576275,33581928,33584920,33592496,33594968,33596734,33603125,33604209,33606758,33607461,33608626,33612071,33619738,33622280,33627080,33632371,33644903,33663515,33684456,33687135,33688368,33689932,33696933,33718356,	0	CLASP2	cmpl	cmpl	0,0,0,0,1,0,2,0,0,0,2,0,2,0,0,1,1,1,1,1,1,1,2,2,2,2,0,2,0,0,1,1,2,0,2,0,1,0,0,
1	ENST00000359576.9	chr3	-	33496248	33718213	33498630	33718002	40	33496248,33501651,33510557,33516022,33516980,33535232,33538788,33543432,33544697,33551251,33559306,33560807,33563963,33570726,33573109,33574472,33576168,33581820,33584749,33592394,33594950,33596710,33602951,33604153,33606590,33607383,33608566,33612000,33619602,33622134,33626987,33632291,33644756,33663444,33684358,33687059,33688276,33689828,33696854,33717807,	33498717,33501768,33510764,33516151,33517174,33535461,33538942,33543539,33544841,33551395,33559385,33560971,33563966,33570790,33573354,33574496,33576275,33581928,33584920,33592496,33594968,33596734,33603125,33604209,33606758,33607461,33608626,33612071,33619738,33622280,33627080,33632374,33644903,33663515,33684456,33687135,33688368,33689932,33696933,33718213,	0	CLASP2	cmpl	cmpl	0,0,0,0,1,0,2,0,0,0,2,0,0,2,0,0,1,1,1,1,1,1,1,2,2,2,2,0,2,0,0,1,1,2,0,2,0,1,0,0,
1	ENST00000480013.5	chr3	-	33496992	33659441	33498630	33658989	33	33496992,33501651,33510557,33516022,33516980,33535232,33538788,33543432,33544697,33551251,33559306,33560807,33570726,33573109,33576168,33577201,33581820,33584749,33592394,33594950,33596710,33602951,33604153,33606590,33607383,33608566,33612000,33619602,33622134,33626987,33632291,33644756,33658973,	33498717,33501768,33510764,33516151,33517174,33535461,33538942,33543539,33544841,33551395,33559385,33560971,33570790,33573354,33576275,33577264,33581928,33584920,33592496,33594968,33596734,33603125,33604209,33606758,33607461,33608626,33612071,33619738,33622280,33627080,33632371,33644903,33659441,	0	CLASP2	cmpl	cmpl	0,0,0,0,1,0,2,0,0,0,2,0,2,0,1,1,1,1,1,1,1,1,2,2,2,2,0,2,0,0,1,1,0,
1	ENST00000461133.7	chr3	-	33497754	33659105	33498630	33658989	33	33497754,33501651,33510557,33516022,33516980,33535232,33538788,33543432,33544697,33551251,33559306,33560807,33563963,33570726,33573109,33576168,33581820,33584749,33592394,33594950,33596710,33602951,33604153,33606590,33607383,33608566,33612000,33619602,33622134,33626987,33632291,33644756,33658973,	33498717,33501768,33510764,33516151,33517174,33535461,33538942,33543539,33544841,33551395,33559385,33560971,33563966,33570790,33573354,33576275,33581928,33584920,33592496,33594968,33596734,33603125,33604209,33606758,33607461,33608626,33612071,33619738,33622280,33627080,33632371,33644903,33659105,	0	CLASP2	cmpl	cmpl	0,0,0,0,1,0,2,0,0,0,2,0,0,2,0,1,1,1,1,1,1,1,2,2,2,2,0,2,0,0,1,1,0,
