name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc065cma.1	chrY	+	281193	288787	284187	288787	4	281193,281481,284166,288732,	281256,281684,284314,288787,	K7EIC3	ENST00000429181.6
uc065cmc.1	chrY	+	283162	288829	284187	288829	3	283162,284166,288732,	283201,284314,288829,	A0A0A0MSZ3	ENST00000443019.6
uc065clz.1	chrY	+	281054	288869	284187	288869	4	281054,281481,284166,288732,	281121,281684,284314,288869,	A0A0A0MT29	ENST00000445062.6
uc065cmf.1	chrY	+	283733	290757	284187	290757	3	283733,288732,290647,	284314,288869,290757,	A0A0A0MT41	ENST00000448477.6
uc065clx.1	chrY	+	276323	291537	276323	276323	5	276323,284166,288732,290647,291498,	276394,284314,288869,290792,291537,		ENST00000484611.7
uc065cly.1	chrY	+	276352	291629	284187	291629	5	276352,284166,288732,290647,291498,	276394,284314,288869,290776,291629,	C9JP92	ENST00000430923.7
uc065cme.1	chrY	+	283478	291629	284187	291629	5	283478,284166,288732,290647,291498,	283520,284314,288869,290776,291629,	C9JP92	ENST00000447472.6
uc065cmd.1	chrY	+	283464	291639	284187	291639	5	283464,284166,288732,290647,291498,	283488,284314,288869,290776,291639,	X6RFG1	ENST00000415337.6
uc065clw.1	chrY	+	276321	303353	284187	299335	8	276321,281481,284166,288732,290647,291498,293034,299096,	276394,281684,284314,288869,290776,291654,293218,303353,	Q9NUJ7	ENST00000399012.6
uc065cmb.1	chrY	+	281461	303353	284187	299335	8	281461,284166,288732,290647,291498,293034,299096,302836,	281684,284314,288869,290776,291654,293218,299465,303353,	Q9NUJ7	ENST00000381663.8
uc004fop.4	chrY	+	281191	303356	284187	299335	7	281191,284166,288732,290647,291498,293034,299096,	281684,284314,288869,290776,291654,293218,303356,	Q9NUJ7	ENST00000381657.7
uc065cmg.1	chrY	-	304528	312463	304528	304528	4	304528,307359,307731,311418,	305197,307512,307880,312463,		ENST00000485332.7
uc033fcx.2	chrY	-	304749	318819	305073	318787	10	304749,307359,307731,311418,312765,314149,314889,315228,316913,318438,	305197,307512,307880,311627,312924,314217,315020,315299,317051,318819,	H0Y2S1	ENST00000326153.9
uc065cmh.1	chrY	+	320989	321851	320989	320989	2	320989,321682,	321248,321851,		ENST00000391707.7
uc065cmi.1	chrY	-	334234	341711	334234	334234	5	334234,338603,338777,340764,341306,	334517,338710,338896,340940,341711,		ENST00000479438.6
uc065cml.1	chrY	-	340764	345626	340764	340764	4	340764,341306,341882,345515,	340940,341396,342237,345626,		ENST00000484364.6
uc065cmk.1	chrY	-	338612	345629	338612	338612	5	338612,340764,341306,341882,345515,	338896,340940,341396,341931,345629,		ENST00000468169.6
uc065cmm.1	chrY	-	341910	346514	341910	341910	3	341910,345515,346173,	341931,345672,346514,		ENST00000477636.6
uc065cmj.1	chrY	-	334238	347324	334238	334238	8	334238,338777,340764,341306,345515,346173,346700,347233,	338710,338896,340940,341931,345672,346260,346775,347324,		ENST00000477110.6
uc065cmo.1	chrY	-	346719	347838	346719	346719	3	346719,347233,347589,	346775,347336,347838,		ENST00000475859.6
uc065cmn.1	chrY	-	346636	361516	346636	346636	4	346636,347233,347589,361404,	346775,347336,347693,361516,		ENST00000496630.6
uc065cmp.1	chrY	-	347610	374044	347610	373771	3	347610,361404,373531,	347693,361590,374044,	C9JMU6	ENST00000381625.9
uc004fot.4	chrY	-	333962	386710	334366	386691	13	333962,338603,338777,340764,341306,341882,345515,346173,346700,347233,347589,361404,386367,	334517,338710,338896,340940,341396,341931,345672,346260,346775,347336,347693,361590,386710,	Q9Y5P8	ENST00000390665.8
uc011nah.3	chrY	-	344895	386955	344895	344895	8	344895,346173,346700,347233,347589,361404,362254,386367,	345672,346260,346775,347336,347693,361590,362332,386955,		ENST00000445792.7
uc065cmr.1	chrY	-	388099	388389	388099	388099	1	388099,	388389,		ENST00000610676.5
uc065cmq.1	chrY	+	386979	405579	386979	386979	2	386979,405406,	387290,405579,		ENST00000627721.3
uc065cms.1	chrY	+	419156	421980	419156	419156	2	419156,421671,	419362,421980,		ENST00000627627.3
uc065cmt.1	chrY	+	630806	645568	630897	644636	5	630806,634617,640820,640998,644390,	631174,634826,640878,641087,645568,	O15266	ENST00000554971.6
uc004fou.1	chrY	+	624343	646823	630897	644636	6	624343,630465,634617,640820,640998,644390,	624602,631174,634826,640878,641087,646823,	O15266	ENST00000381578.6
uc004fov.3	chrY	+	624343	659411	630897	658829	6	624343,630465,634617,640820,640998,658784,	624602,631174,634826,640878,641087,659411,	O15266	ENST00000334060.8
uc065cmu.1	chrY	+	630806	659411	630897	658829	5	630806,634617,640820,640998,658784,	631174,634826,640878,641087,659411,	O15266	ENST00000381575.6
uc065cmv.1	chrY	+	990220	994365	990220	990220	2	990220,993984,	990427,994365,		ENST00000420865.6
uc004foy.4	chrY	-	1190896	1212634	1190896	1206445	7	1190896,1193217,1196779,1198561,1202401,1206432,1212555,	1191160,1193302,1196900,1198724,1202535,1206599,1212634,	Q9HC73	ENST00000381567.8
uc065cmw.1	chrY	-	1187548	1212637	1190896	1212634	9	1187548,1190496,1193217,1196779,1198561,1202401,1206432,1208805,1212555,	1187574,1191160,1193302,1196900,1198724,1202535,1206599,1208908,1212637,	Q9HC73	ENST00000381566.6
uc065cmx.1	chrY	-	1190491	1212723	1198926	1212634	8	1190491,1193217,1196779,1198800,1202401,1206432,1208805,1212555,	1191160,1193302,1196900,1199145,1202535,1206599,1208905,1212723,	A0A0C4DH06	ENST00000467626.6
uc022ciq.3	chrY	-	1190489	1212750	1190896	1212634	8	1190489,1193217,1196779,1198561,1202401,1206432,1208805,1212555,	1191160,1193302,1196900,1198724,1202535,1206599,1208908,1212750,	Q9HC73	ENST00000400841.7
uc065cnc.1	chrY	+	1268834	1282220	1268834	1268834	3	1268834,1274754,1281870,	1268879,1274818,1282220,		ENST00000481245.6
uc065cne.1	chrY	+	1285651	1288640	1285651	1285651	2	1285651,1288518,	1285920,1288640,		ENST00000477940.6
uc065cnf.1	chrY	+	1288597	1289105	1288597	1288597	2	1288597,1288758,	1288642,1289105,		ENST00000478256.6
uc065cna.1	chrY	+	1268829	1290427	1282703	1290427	8	1268829,1274754,1282408,1282677,1285777,1288518,1288758,1290336,	1268879,1274818,1282560,1282779,1285920,1288642,1288888,1290427,	J3JS73	ENST00000419094.6
uc065cnh.1	chrY	+	1291754	1291828	1291754	1291754	1	1291754,	1291828,		ENST00000581137.6
uc065cni.1	chrY	+	1292093	1292167	1292093	1292093	1	1292093,	1292167,		ENST00000580687.6
uc065cnj.1	chrY	+	1293614	1293689	1293614	1293614	1	1293614,	1293689,		ENST00000578699.6
uc022cis.1	chrY	+	1293917	1293992	1293917	1293917	1	1293917,	1293992,		ENST00000580266.6
uc065cnk.1	chrY	+	1294131	1294206	1294131	1294131	1	1294131,	1294206,		ENST00000583047.6
uc065cmz.1	chrY	+	1268817	1294395	1282703	1294395	7	1268817,1282677,1285777,1288518,1288758,1290336,1294327,	1268879,1282779,1285920,1288642,1288888,1290509,1294395,	J3JS74	ENST00000412290.6
uc065cnl.1	chrY	+	1294224	1295578	1294224	1294224	2	1294224,1295426,	1294461,1295578,		ENST00000491683.6
uc065cnn.1	chrY	-	1300255	1300375	1300255	1300255	1	1300255,	1300375,		ENST00000411342.6
uc065cmy.1	chrY	+	1268813	1300543	1268813	1268813	9	1268813,1274754,1282677,1288518,1288758,1290336,1294327,1295426,1300490,	1268879,1274842,1282779,1288642,1288888,1290509,1294461,1295456,1300543,		ENST00000493312.6
uc011nai.2	chrY	+	1268831	1305941	1282703	1305735	13	1268831,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1305627,	1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1305941,	P15509	ENST00000381509.8
uc004fpe.3	chrY	+	1282685	1309638	1282703	1305501	10	1282685,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1305445,1309401,	1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1305527,1309638,	P15509	ENST00000381500.6
uc004fpb.3	chrY	+	1268799	1309922	1282703	1309479	13	1268799,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1309401,	1268879,1274818,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1309922,	P15509	ENST00000381529.8
uc065cnb.1	chrY	+	1268831	1309922	1282703	1309868	6	1268831,1274754,1282677,1285777,1287173,1309839,	1268879,1274842,1282779,1285920,1287198,1309922,	V9GYE9	ENST00000494969.7
uc065cng.1	chrY	+	1290452	1309922	1290452	1290452	6	1290452,1294327,1295426,1300490,1302896,1309823,	1290509,1294461,1295456,1300626,1302916,1309922,		ENST00000475259.6
uc004fpc.3	chrY	+	1268844	1309934	1282703	1309589	11	1268844,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1309401,	1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1309934,	P15509	ENST00000355432.8
uc004fpd.3	chrY	+	1268844	1309934	1282703	1305501	9	1268844,1274754,1282677,1285777,1288518,1288758,1290336,1305445,1309401,	1268879,1274842,1282779,1285920,1288642,1288888,1290509,1305527,1309934,	P15509	ENST00000355805.7
uc065cnd.1	chrY	+	1268844	1309934	1282703	1303970	12	1268844,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1303922,1305445,1309401,	1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1304019,1305527,1309934,	F2Z3C9	ENST00000486791.6
uc065cnm.1	chrY	+	1294327	1309934	1294327	1294327	7	1294327,1295426,1300490,1303260,1303922,1305445,1309401,	1294461,1295456,1300626,1303362,1304019,1305527,1309934,		ENST00000498153.6
uc010nvv.3	chrY	+	1268799	1309935	1282703	1309479	14	1268799,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303260,1303922,1305445,1309401,	1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1303362,1304019,1305527,1309935,	P15509	ENST00000417535.7
uc010nvt.2	chrY	+	1268799	1309935	1282703	1309479	14	1268799,1274754,1282408,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1309401,	1268879,1274818,1282560,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1309935,	P15509	ENST00000432318.7
uc011naj.1	chrY	+	1268799	1309935	1288814	1309479	11	1268799,1282677,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1309401,	1268879,1282779,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1309935,	P15509	ENST00000501036.7
uc004fpa.3	chrY	+	1268807	1310381	1282703	1309479	13	1268807,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1309401,	1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1310381,	P15509	ENST00000381524.8
uc065cno.1	chrY	+	1336795	1356331	1341765	1356331	5	1336795,1341727,1352099,1352321,1356220,	1336926,1341829,1352232,1352506,1356331,	J3JS34	ENST00000432757.6
uc004fpf.4	chrY	+	1336615	1382685	1341765	1382465	12	1336615,1341727,1345315,1348430,1352099,1352321,1356220,1358860,1365137,1378658,1381022,1382390,	1336926,1341829,1345434,1348545,1352232,1352506,1356336,1358887,1365252,1378764,1381104,1382685,	P26951	ENST00000331035.9
uc011nak.3	chrY	+	1336615	1382689	1341765	1382465	10	1336615,1341727,1352099,1352321,1356220,1358860,1365137,1378658,1381022,1382390,	1336926,1341829,1352232,1352506,1356336,1358887,1365252,1378764,1381104,1382689,	P26951	ENST00000381469.7
uc065cnq.1	chrY	-	1387344	1392088	1387344	1387344	4	1387344,1389240,1390191,1391898,	1387419,1389727,1390293,1392088,		ENST00000484026.6
uc065cnp.1	chrY	-	1387310	1392103	1387310	1387310	4	1387310,1389240,1390191,1391898,	1387419,1389727,1390290,1392103,		ENST00000475167.6
uc004fpg.4	chrY	-	1386151	1392724	1386601	1392009	4	1386151,1387278,1389240,1391898,	1386759,1387419,1389727,1392724,	Q6I9V5	ENST00000381401.10
uc065cnr.1	chrY	+	1396426	1398958	1396426	1396426	2	1396426,1398824,	1396648,1398958,		ENST00000434938.7
uc065cns.1	chrY	+	1397024	1399402	1397024	1397024	3	1397024,1398824,1399366,	1397224,1398958,1399402,		ENST00000430235.7
uc065cnt.1	chrY	+	1401768	1403493	1401768	1401768	2	1401768,1403376,	1402225,1403493,		ENST00000443929.6
uc065cnv.1	chrY	+	1402042	1413131	1402042	1402042	3	1402042,1403460,1412742,	1402225,1403585,1413131,		ENST00000420411.7
uc065cnu.1	chrY	+	1401810	1413915	1401810	1401810	4	1401810,1403460,1412742,1413761,	1402225,1403585,1412888,1413915,		ENST00000425740.7
uc065cnx.1	chrY	+	1403509	1414024	1403509	1403509	3	1403509,1412790,1413763,	1403585,1412888,1414024,		ENST00000602357.6
uc065cnw.1	chrY	+	1403458	1414028	1403458	1403458	3	1403458,1412742,1413748,	1403585,1412888,1414028,		ENST00000419737.7
uc065cny.1	chrY	-	1427726	1435391	1427726	1427726	3	1427726,1432268,1435021,	1428121,1432377,1435391,		ENST00000463763.6
uc065cnz.1	chrY	-	1431901	1435728	1431901	1431901	3	1431901,1435021,1435693,	1432377,1435083,1435728,		ENST00000462195.6
