#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
0	NM_001276351	chr1	-	67092175	67134971	67093004	67127240	8	67092175,67095234,67096251,67115351,67125751,67127165,67131141,67134929,	67093604,67095421,67096321,67115464,67125909,67127257,67131227,67134971,	0	C1orf141	cmpl	cmpl	0,2,1,2,0,0,-1,-1,
0	NM_001276352	chr1	-	67092175	67134971	67093579	67127240	9	67092175,67096251,67103237,67111576,67115351,67125751,67127165,67131141,67134929,	67093604,67096321,67103382,67111644,67115464,67125909,67127257,67131227,67134971,	0	C1orf141	cmpl	cmpl	2,1,0,1,2,0,0,-1,-1,
0	NR_075077	chr1	-	67092175	67134971	67134971	67134971	10	67092175,67096251,67103237,67111576,67113613,67115351,67125751,67127165,67131141,67134929,	67093604,67096321,67103382,67111644,67113756,67115464,67125909,67127257,67131227,67134971,	0	C1orf141	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0	NM_000299	chr1	+	201283451	201332993	201283702	201328836	15	201283451,201293941,201313165,201316552,201317571,201318617,201319815,201320266,201321977,201323012,201324427,201324940,201325753,201328761,201330073,	201283904,201294045,201313560,201316697,201317779,201318795,201319878,201320381,201322133,201323189,201324581,201325127,201325838,201328868,201332993,	0	PKP1	cmpl	cmpl	0,1,0,2,0,1,2,2,0,0,0,1,2,0,-1,
0	NM_001005337	chr1	+	201283451	201332993	201283702	201328836	14	201283451,201293941,201313165,201316552,201317571,201318617,201320266,201321977,201323012,201324427,201324940,201325753,201328761,201330073,	201283904,201294045,201313560,201316697,201317779,201318795,201320381,201322133,201323189,201324581,201325127,201325838,201328868,201332993,	0	PKP1	cmpl	cmpl	0,1,0,2,0,1,2,0,0,0,1,2,0,-1,
1	NM_001042682	chr1	-	8352403	8423687	8355086	8364133	13	8352403,8355418,8356099,8358195,8359763,8360111,8361762,8362682,8364055,8364745,8365811,8422726,8423560,	8355120,8355599,8356246,8358916,8359986,8361490,8361876,8362844,8364255,8364838,8365974,8422807,8423687,	0	RERE	cmpl	cmpl	2,1,1,0,2,0,0,0,0,-1,-1,-1,-1,
1	NM_001042681	chr1	-	8352403	8817640	8355086	8656297	23	8352403,8355418,8356099,8358195,8359763,8360111,8361762,8362682,8364055,8364745,8365811,8422726,8465924,8495062,8497404,8508626,8541213,8556474,8557417,8614560,8624309,8655972,8817159,	8355120,8355599,8356246,8358916,8359986,8361490,8361876,8362844,8364255,8364838,8365974,8422807,8466023,8495162,8497529,8508675,8541318,8556571,8557523,8614686,8624380,8656441,8817640,	0	RERE	cmpl	cmpl	2,1,1,0,2,0,0,0,1,1,0,0,0,2,0,2,2,1,0,0,1,0,-1,
1	NM_012102	chr1	-	8352403	8817640	8355086	8656297	24	8352403,8355418,8356099,8358195,8359763,8360111,8361762,8362682,8364055,8364745,8365811,8422726,8465924,8495062,8497404,8508626,8541213,8556474,8557417,8614560,8624309,8655972,8792403,8817159,	8355120,8355599,8356246,8358916,8359986,8361490,8361876,8362844,8364255,8364838,8365974,8422807,8466023,8495162,8497529,8508675,8541318,8556571,8557523,8614686,8624380,8656441,8792588,8817640,	0	RERE	cmpl	cmpl	2,1,1,0,2,0,0,0,1,1,0,0,0,2,0,2,2,1,0,0,1,0,-1,-1,
1	NM_052896	chr1	-	33513998	34165842	33519517	34165813	70	33513998,33519464,33519811,33521462,33523306,33524881,33527195,33533049,33533795,33537021,33537435,33540524,33541129,33542719,33546036,33550176,33567592,33569373,33571531,33572505,33577295,33580752,33583641,33586503,33587087,33600864,33602368,33605281,33605862,33611040,33614503,33616905,33617498,33622166,33623369,33624518,33625050,33626485,33633421,33635213,33636359,33646647,33652322,33657945,33662889,33692929,33698752,33700516,33709088,33714586,33716285,33724196,33724515,33725348,33726546,33739139,33743279,33772568,33788599,33792422,33810742,33819712,33820468,33825696,33846883,33918093,33935759,34032593,34088976,34165746,	33516570,33519677,33519950,33521550,33523419,33525043,33527258,33533229,33533907,33537095,33537609,33540698,33541309,33542896,33546219,33550350,33567766,33569547,33571726,33572691,33577484,33580899,33583830,33586617,33587168,33601010,33602546,33605470,33605988,33611250,33614620,33616975,33617617,33622271,33623466,33624643,33625254,33626581,33633535,33635330,33636554,33646835,33652461,33658137,33663092,33693056,33698944,33700673,33709258,33714775,33716501,33724313,33724704,33725536,33726685,33739334,33743606,33772751,33788712,33792526,33810864,33819837,33820556,33825774,33846996,33918301,33935954,34032706,34089193,34165842,	0	CSMD2	cmpl	cmpl	-1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1,1,2,1,1,1,1,2,0,1,2,1,1,2,1,1,2,1,0,
1	NM_001281956	chr1	-	33513998	34165274	33519517	34165097	71	33513998,33519464,33519811,33521462,33523306,33524881,33527195,33533049,33533795,33537021,33537435,33540524,33541129,33542719,33546036,33550176,33557733,33559299,33567592,33569373,33571531,33572505,33577295,33580752,33583641,33586503,33587087,33600864,33602368,33605281,33611040,33614503,33616905,33617498,33622166,33623369,33624518,33625050,33626485,33633421,33635213,33636359,33646647,33652322,33657945,33662889,33692929,33698752,33700516,33709088,33714586,33716285,33724196,33724515,33725348,33726546,33739139,33743279,33772568,33788599,33792422,33810742,33819712,33820468,33825696,33846883,33918093,33935759,34032593,34088976,34164910,	33516570,33519677,33519950,33521550,33523419,33525043,33527258,33533229,33533907,33537095,33537609,33540698,33541309,33542896,33546219,33550350,33557922,33559473,33567841,33569547,33571726,33572691,33577484,33580899,33583830,33586617,33587168,33601010,33602546,33605470,33611250,33614620,33616975,33617617,33622271,33623466,33624643,33625254,33626581,33633535,33635330,33636554,33646835,33652461,33658137,33663092,33693056,33698944,33700673,33709258,33714775,33716501,33724313,33724704,33725536,33726685,33739334,33743606,33772751,33788712,33792526,33810864,33819837,33820556,33825774,33846996,33918301,33935954,34032706,34089193,34165274,	0	CSMD2	cmpl	cmpl	-1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1,1,2,1,1,1,1,2,0,1,2,1,1,2,1,1,2,1,0,
1	NR_038261	chr1	-	41847188	42035925	42035925	42035925	4	41847188,41848870,41918412,42035806,	41848445,41849089,41918524,42035925,	0	HIVEP3	unk	unk	-1,-1,-1,-1,
2	NM_001130058	chr1	-	75202130	75611114	75203726	75541447	24	75202130,75211467,75213704,75213918,75214604,75215753,75217865,75218489,75219256,75219799,75222360,75227725,75233985,75236986,75238512,75242000,75242885,75251209,75274957,75300611,75339581,75396582,75541434,75611039,	75203833,75211552,75213793,75213989,75214678,75215857,75217960,75218752,75219344,75219892,75222460,75227857,75234098,75237070,75238636,75242061,75243011,75251294,75275042,75300685,75339630,75396621,75541516,75611114,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,2,1,1,0,-1,
2	NM_001320285	chr1	-	75202132	75611116	75203726	75300660	26	75202132,75211467,75213704,75213918,75214604,75215753,75217865,75218489,75219256,75219799,75222360,75227725,75233985,75236986,75238512,75242000,75242885,75251209,75274957,75300611,75311614,75339581,75396582,75398354,75541434,75611039,	75203833,75211552,75213793,75213989,75214678,75215857,75217960,75218752,75219344,75219892,75222460,75227857,75234098,75237070,75238636,75242061,75243011,75251294,75275042,75300685,75311705,75339630,75396621,75398421,75541516,75611116,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,0,-1,-1,-1,-1,-1,-1,
2	NM_001320287	chr1	-	75202132	75611116	75203726	75300660	25	75202132,75211467,75213704,75213918,75214604,75215753,75217865,75218489,75219256,75219799,75222360,75227725,75233985,75236986,75238512,75242000,75242885,75251209,75274957,75300611,75311614,75339581,75396582,75541434,75611039,	75203833,75211552,75213793,75213989,75214678,75215857,75217960,75218752,75219344,75219892,75222460,75227857,75234098,75237070,75238636,75242061,75243011,75251294,75275042,75300685,75311705,75339630,75396621,75541516,75611116,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,0,-1,-1,-1,-1,-1,
2	NM_001320283	chr1	-	75206131	75616009	75206606	75615886	22	75206131,75211467,75213704,75213918,75214604,75215753,75217865,75218489,75219256,75219799,75222360,75227725,75233985,75236986,75238512,75242000,75242885,75251209,75274957,75300611,75339581,75615852,	75206719,75211552,75213793,75213989,75214678,75215857,75217960,75218752,75219344,75219892,75222460,75227857,75234098,75237070,75238636,75242061,75243011,75251294,75275042,75300685,75339630,75616009,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,2,1,0,
2	NM_152697	chr1	-	75206389	75611114	75206606	75541447	24	75206389,75211467,75213704,75213918,75214604,75215753,75217865,75218489,75219256,75219799,75222360,75227725,75233985,75236986,75238512,75242000,75242885,75251209,75274957,75300611,75339581,75396582,75541434,75611039,	75206719,75211552,75213793,75213989,75214678,75215857,75217960,75218752,75219344,75219892,75222460,75227857,75234098,75237070,75238636,75242061,75243011,75251294,75275042,75300685,75339630,75396621,75541516,75611114,	0	SLC44A5	cmpl	cmpl	1,0,1,2,0,1,2,0,2,2,1,1,2,2,1,0,0,2,1,2,1,1,0,-1,
2	NM_024686	chr1	-	83869373	83999150	83869961	83952211	21	83869373,83882962,83890320,83904078,83906328,83907455,83911164,83917603,83919698,83921086,83921246,83929135,83933607,83937851,83942462,83947123,83948627,83949864,83951844,83952186,83998930,	83870082,83883136,83890481,83904159,83906463,83907661,83911363,83917690,83919834,83921160,83921394,83929230,83933766,83938016,83942679,83947282,83948695,83949986,83951976,83952387,83999150,	0	TTLL7	cmpl	cmpl	2,2,0,0,0,1,0,0,2,0,2,0,0,0,2,2,0,1,1,0,-1,
2	NM_001319683	chr1	-	92246397	92299009	92246529	92297999	18	92246397,92247061,92247877,92262862,92263622,92264553,92266418,92267912,92268104,92269722,92271464,92286489,92288913,92290197,92291417,92297403,92297960,92298924,	92246646,92247144,92247989,92262926,92263732,92264638,92266492,92268002,92268135,92269776,92271652,92286592,92289151,92290306,92291537,92297529,92298029,92299009,	0	GLMN	cmpl	cmpl	0,1,0,2,0,2,0,0,2,2,0,2,1,0,0,0,0,-1,
2	NM_053274	chr1	-	92246397	92299009	92246529	92297999	19	92246397,92247061,92247877,92262862,92263622,92264553,92266418,92266699,92267912,92268104,92269722,92271464,92286489,92288913,92290197,92291417,92297403,92297960,92298924,	92246646,92247144,92247989,92262926,92263732,92264638,92266492,92266741,92268002,92268135,92269776,92271652,92286592,92289151,92290306,92291537,92297529,92298029,92299009,	0	GLMN	cmpl	cmpl	0,1,0,2,0,2,0,0,0,2,2,0,2,1,0,0,0,0,-1,
2	NR_135089	chr1	-	92246397	92299009	92299009	92299009	18	92246397,92247061,92247877,92262862,92263622,92266418,92266699,92267912,92268104,92269722,92271464,92286489,92288913,92290197,92291417,92297403,92297960,92298924,	92246646,92247144,92247989,92262926,92263732,92266492,92266741,92268002,92268135,92269776,92271652,92286592,92289151,92290306,92291537,92297529,92298029,92299009,	0	GLMN	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
2	NM_006699	chr1	+	117367462	117525698	117368183	117522957	13	117367462,117402185,117405548,117414712,117420568,117442230,117460488,117466333,117493146,117496762,117499381,117502854,117522824,	117368485,117402441,117405645,117414831,117420649,117442325,117460612,117466427,117493262,117496982,117499554,117502970,117525698,	0	MAN1A2	cmpl	cmpl	0,2,0,1,0,0,2,0,1,0,1,0,2,
3	NM_001146191	chr1	+	167721949	167791919	167722151	167787921	3	167721949,167765582,167787819,	167722242,167765749,167791919,	0	MPZL1	cmpl	cmpl	0,1,0,
3	NM_003953	chr1	+	167721949	167791919	167722151	167787921	6	167721949,167765582,167772274,167773235,167776063,167787819,	167722242,167765749,167772488,167773368,167776166,167791919,	0	MPZL1	cmpl	cmpl	0,1,0,1,2,0,
3	NM_024569	chr1	+	167721949	167791919	167722151	167787844	5	167721949,167765582,167772274,167773235,167787819,	167722242,167765749,167772488,167773368,167791919,	0	MPZL1	cmpl	cmpl	0,1,0,1,2,
3	NR_126003	chr1	-	192935743	192948257	192948257	192948257	3	192935743,192937300,192948102,	192935903,192937420,192948257,	0	LINC01032	unk	unk	-1,-1,-1,
3	NM_022457	chr1	-	175944825	176207244	175945152	176206978	20	175944825,175947194,175986942,175988287,175989361,176027571,176043185,176043709,176046180,176081151,176085775,176116623,176135009,176136487,176149005,176162868,176163814,176175909,176184632,176206571,	175945170,175947239,175987103,175988412,175989479,176027688,176043267,176043818,176046324,176081287,176085890,176116681,176135086,176136547,176149074,176162988,176163891,176176007,176184692,176207244,	0	RFWD2	cmpl	cmpl	0,0,1,2,1,1,0,2,2,1,0,2,0,0,0,0,1,2,2,0,
3	NM_030806	chr1	+	184387015	184629021	184477509	184619556	6	184387015,184477385,184507587,184590738,184598400,184619517,	184387368,184477603,184507682,184590815,184598461,184629021,	0	C1orf21	cmpl	cmpl	-1,0,1,0,2,0,
3	NM_003568	chr1	+	150982022	150995638	150983105	150995322	14	150982022,150982486,150983089,150983337,150983974,150984280,150984585,150986335,150986601,150987871,150988090,150988282,150994576,150995259,	150982379,150982583,150983180,150983434,150984069,150984394,150984676,150986415,150986661,150987956,150988186,150988341,150994699,150995638,	0	ANXA9	cmpl	cmpl	-1,-1,0,0,1,0,0,1,0,0,1,1,0,0,
3	NM_001286644	chr1	-	175944825	176207244	175945152	176175951	18	175944825,175947194,175986942,175988287,175989361,176027571,176043185,176043709,176046180,176081151,176085775,176116623,176135009,176136487,176149005,176175909,176184632,176206571,	175945170,175947239,175987103,175988412,175989479,176027688,176043267,176043818,176046324,176081287,176085890,176116681,176135086,176136547,176149074,176176007,176184692,176207244,	0	RFWD2	cmpl	cmpl	0,0,1,2,1,1,0,2,2,1,0,2,0,0,0,0,-1,-1,
3	NM_001001740	chr1	-	175944825	176207244	175945152	176206978	19	175944825,175947194,175986942,175988287,175989361,176027571,176043185,176043709,176046180,176081151,176085775,176116623,176135009,176149005,176162868,176163826,176175909,176184632,176206571,	175945170,175947239,175987103,175988412,175989479,176027688,176043267,176043818,176046324,176081287,176085890,176116681,176135086,176149074,176162988,176163891,176176007,176184692,176207244,	0	RFWD2	cmpl	cmpl	0,0,1,2,1,1,0,2,2,1,0,2,0,0,0,1,2,2,0,
4	NM_006642	chr1	+	243256004	243500091	243256173	243499785	18	243256004,243270104,243270977,243274542,243286271,243293090,243304712,243307988,243316754,243330539,243341038,243344214,243378720,243415701,243417967,243426426,243489013,243499755,	243256240,243270257,243271063,243274656,243286397,243293219,243304777,243308177,243316893,243330692,243341173,243344331,243378863,243415829,243418076,243426558,243489140,243500091,	0	SDCCAG8	cmpl	cmpl	0,1,1,0,0,0,0,2,2,0,0,0,0,2,1,2,2,0,
