#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	ENST00000387314.1	chrM	+	576	647	576	576	1	576,	647,	0	MT-TF	none	none	-1,
585	ENST00000389680.2	chrM	+	647	1601	647	647	1	647,	1601,	0	MT-RNR1	none	none	-1,
585	ENST00000387342.1	chrM	+	1601	1670	1601	1601	1	1601,	1670,	0	MT-TV	none	none	-1,
585	ENST00000387347.2	chrM	+	1670	3229	1670	1670	1	1670,	3229,	0	MT-RNR2	none	none	-1,
585	ENST00000386347.1	chrM	+	3229	3304	3229	3229	1	3229,	3304,	0	MT-TL1	none	none	-1,
585	ENST00000361390.2	chrM	+	3306	4262	3306	4262	1	3306,	4262,	0	MT-ND1	incmpl	incmpl	0,
585	ENST00000387365.1	chrM	+	4262	4331	4262	4262	1	4262,	4331,	0	MT-TI	none	none	-1,
585	ENST00000387372.1	chrM	-	4328	4400	4328	4328	1	4328,	4400,	0	MT-TQ	none	none	-1,
585	ENST00000387377.1	chrM	+	4401	4469	4401	4401	1	4401,	4469,	0	MT-TM	none	none	-1,
585	ENST00000361453.3	chrM	+	4469	5511	4469	5511	1	4469,	5511,	0	MT-ND2	incmpl	incmpl	0,
585	ENST00000387382.1	chrM	+	5511	5579	5511	5511	1	5511,	5579,	0	MT-TW	none	none	-1,
585	ENST00000387392.1	chrM	-	5586	5655	5586	5586	1	5586,	5655,	0	MT-TA	none	none	-1,
585	ENST00000387400.1	chrM	-	5656	5729	5656	5656	1	5656,	5729,	0	MT-TN	none	none	-1,
585	ENST00000387405.1	chrM	-	5760	5826	5760	5760	1	5760,	5826,	0	MT-TC	none	none	-1,
585	ENST00000387409.1	chrM	-	5825	5891	5825	5825	1	5825,	5891,	0	MT-TY	none	none	-1,
585	ENST00000361624.2	chrM	+	5903	7445	5903	7445	1	5903,	7445,	0	MT-CO1	cmpl	incmpl	0,
585	ENST00000387416.2	chrM	-	7445	7514	7445	7445	1	7445,	7514,	0	MT-TS1	none	none	-1,
585	ENST00000387419.1	chrM	+	7517	7585	7517	7517	1	7517,	7585,	0	MT-TD	none	none	-1,
585	ENST00000361739.1	chrM	+	7585	8269	7585	8269	1	7585,	8269,	0	MT-CO2	cmpl	cmpl	0,
585	ENST00000387421.1	chrM	+	8294	8364	8294	8294	1	8294,	8364,	0	MT-TK	none	none	-1,
585	ENST00000361851.1	chrM	+	8365	8572	8365	8572	1	8365,	8572,	0	MT-ATP8	cmpl	cmpl	0,
585	ENST00000361899.2	chrM	+	8526	9207	8526	9207	1	8526,	9207,	0	MT-ATP6	cmpl	cmpl	0,
585	ENST00000362079.2	chrM	+	9206	9990	9206	9990	1	9206,	9990,	0	MT-CO3	cmpl	incmpl	0,
585	ENST00000387429.1	chrM	+	9990	10058	9990	9990	1	9990,	10058,	0	MT-TG	none	none	-1,
585	ENST00000361227.2	chrM	+	10058	10404	10058	10404	1	10058,	10404,	0	MT-ND3	incmpl	incmpl	0,
585	ENST00000387439.1	chrM	+	10404	10469	10404	10404	1	10404,	10469,	0	MT-TR	none	none	-1,
585	ENST00000361335.1	chrM	+	10469	10766	10469	10766	1	10469,	10766,	0	MT-ND4L	cmpl	cmpl	0,
585	ENST00000361381.2	chrM	+	10759	12137	10759	12137	1	10759,	12137,	0	MT-ND4	cmpl	incmpl	0,
585	ENST00000387441.1	chrM	+	12137	12206	12137	12137	1	12137,	12206,	0	MT-TH	none	none	-1,
585	ENST00000387449.1	chrM	+	12206	12265	12206	12206	1	12206,	12265,	0	MT-TS2	none	none	-1,
585	ENST00000387456.1	chrM	+	12265	12336	12265	12265	1	12265,	12336,	0	MT-TL2	none	none	-1,
585	ENST00000361567.2	chrM	+	12336	14148	12336	14148	1	12336,	14148,	0	MT-ND5	incmpl	cmpl	0,
585	ENST00000361681.2	chrM	-	14148	14673	14148	14673	1	14148,	14673,	0	MT-ND6	incmpl	cmpl	0,
585	ENST00000387459.1	chrM	-	14673	14742	14673	14673	1	14673,	14742,	0	MT-TE	none	none	-1,
585	ENST00000361789.2	chrM	+	14746	15887	14746	15887	1	14746,	15887,	0	MT-CYB	cmpl	incmpl	0,
585	ENST00000387460.2	chrM	+	15887	15953	15887	15887	1	15887,	15953,	0	MT-TT	none	none	-1,
585	ENST00000387461.2	chrM	-	15955	16023	15955	15955	1	15955,	16023,	0	MT-TP	none	none	-1,
