#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
9	ENST00000400457.3	chrY	+	5056089	5742224	5056823	5737942	5	5056089,5098214,5501056,5581774,5737271,	5057459,5100707,5501255,5581798,5742224,	0	PCDH11Y	cmpl	cmpl	0,0,0,1,1,
10	ENST00000297967.9	chrY	+	14622020	14733549	14622119	14733537	4	14622020,14719458,14723116,14733451,	14622591,14719518,14723269,14733549,	0	NLGN4Y	cmpl	cmpl	0,1,1,1,
11	ENST00000324446.3	chrY	-	18872500	18878228	18872500	18872500	2	18872500,18877067,	18872834,18878228,	0	TTTY14	none	none	-1,-1,
11	ENST00000454875.1	chrY	-	18872502	19077118	18872502	18872502	3	18872502,18877067,19077044,	18872834,18877205,19077118,	0	TTTY14	none	none	-1,-1,-1,
73	ENST00000627721.3	chrY	+	386979	405579	386979	386979	2	386979,405406,	387290,405579,	0	RP13-465B17.4	none	none	-1,-1,
73	ENST00000334060.8	chrY	+	624343	659411	630897	658829	6	624343,630465,634617,640820,640998,658784,	624602,631174,634826,640878,641087,659411,	0	SHOX	cmpl	cmpl	-1,0,1,0,1,0,
73	ENST00000381575.6	chrY	+	630806	659411	630897	658829	5	630806,634617,640820,640998,658784,	631174,634826,640878,641087,659411,	0	SHOX	cmpl	cmpl	0,1,0,1,0,
74	ENST00000534940.6	chrY	-	1403138	1453762	1403268	1442236	13	1403138,1412731,1417972,1418981,1421657,1425524,1427733,1432268,1435021,1435693,1439096,1442185,1453617,	1403489,1412854,1418116,1419114,1421842,1425687,1428121,1432377,1435083,1435758,1439144,1442317,1453762,	0	ASMTL	cmpl	cmpl	1,1,1,0,1,0,2,1,2,0,0,0,-1,
74	ENST00000381317.8	chrY	-	1403140	1452873	1403268	1452840	13	1403140,1412731,1417972,1418981,1421657,1425524,1427733,1432268,1435021,1435693,1439096,1442185,1452747,	1403489,1412854,1418116,1419114,1421842,1425687,1428121,1432377,1435083,1435758,1439144,1442317,1452873,	0	ASMTL	cmpl	cmpl	1,1,1,0,1,0,2,1,2,0,0,0,0,
74	ENST00000381333.9	chrY	-	1403140	1452929	1403268	1452840	12	1403140,1412731,1417972,1418981,1421657,1425524,1427733,1432268,1435021,1435693,1442185,1452747,	1403489,1412854,1418116,1419114,1421842,1425687,1428121,1432377,1435083,1435758,1442317,1452929,	0	ASMTL	cmpl	cmpl	1,1,1,0,1,0,2,1,2,0,0,0,
