#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1	ENST00000376042.5	chrX	+	50204764	50351910	50285163	50351703	13	50204764,50284541,50285126,50288779,50294862,50308504,50312536,50313855,50342201,50346651,50347625,50351240,50351606,	50204950,50284616,50285259,50288887,50294993,50311496,50312632,50313948,50342339,50346807,50347775,50351371,50351910,	0	CCNB3	cmpl	cmpl	-1,-1,0,0,0,2,0,0,0,0,0,0,2,
1	ENST00000376038.5	chrX	+	50204944	50351910	50285163	50351703	9	50204944,50284541,50285126,50288779,50342201,50346651,50347625,50351240,50351606,	50204950,50284616,50285259,50288887,50342339,50346807,50347775,50351371,50351910,	0	CCNB3	cmpl	cmpl	-1,-1,0,0,0,0,0,0,2,
1	ENST00000276014.11	chrX	+	50284535	50351910	50285163	50351703	12	50284535,50285126,50288779,50294862,50308504,50312536,50313855,50342201,50346651,50347625,50351240,50351606,	50284616,50285259,50288887,50294993,50311496,50312632,50313948,50342339,50346807,50347775,50351371,50351910,	0	CCNB3	cmpl	cmpl	-1,0,0,0,2,0,0,0,0,0,0,2,
1	ENST00000348603.2	chrX	+	50284535	50351910	50285163	50351703	8	50284535,50285126,50288779,50342201,50346651,50347625,50351240,50351606,	50284616,50285259,50288887,50342339,50346807,50347775,50351371,50351910,	0	CCNB3	cmpl	cmpl	-1,0,0,0,0,0,0,2,
2	ENST00000373367.7	chrX	-	75368426	75523255	75379151	75523024	12	75368426,75379119,75417086,75421863,75424651,75429077,75429947,75431450,75450801,75478890,75505820,75522888,	75372945,75379198,75417190,75421990,75424784,75429198,75429980,75431520,75450922,75478985,75505847,75523255,	0	ZDHHC15	cmpl	cmpl	-1,1,2,1,0,2,2,1,0,1,1,0,
2	ENST00000541184.1	chrX	-	75368430	75523502	75379151	75523024	11	75368430,75379119,75417086,75421863,75424651,75429077,75429947,75431450,75450801,75478890,75522888,	75372945,75379198,75417190,75421990,75424784,75429198,75429980,75431520,75450922,75478985,75523502,	0	ZDHHC15	cmpl	cmpl	-1,1,2,1,0,2,2,1,0,1,0,
2	ENST00000621735.4	chrX	+	83861125	83886699	83861182	83886584	4	83861125,83869864,83871451,83886551,	83861196,83869905,83871570,83886699,	0	CYLC1	cmpl	cmpl	0,2,1,0,
2	ENST00000329312.4	chrX	+	83861145	83886697	83861182	83886584	5	83861145,83869864,83871451,83872885,83886551,	83861199,83869905,83871570,83874631,83886697,	0	CYLC1	cmpl	cmpl	0,2,1,0,0,
2	ENST00000373097.5	chrX	+	91834659	92623227	91835504	92618940	6	91834659,91876780,92201374,92387734,92468298,92618263,	91836044,91879273,92201455,92387933,92468322,92623227,	0	PCDH11X	cmpl	cmpl	0,0,0,0,1,1,
2	ENST00000373094.5	chrX	+	91834659	92623230	91835504	92618940	7	91834659,91876780,92201374,92263113,92387734,92468298,92618263,	91836044,91879273,92201455,92263143,92387933,92468322,92623230,	0	PCDH11X	cmpl	cmpl	0,0,0,0,0,1,1,
