name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc059gom.1	chr15	+	19883613	19883716	19883613	19883613	1	19883613,	19883716,		ENST00000364371.1
uc059gon.1	chr15	-	19964665	19965101	19964665	19965101	2	19964665,19965055,	19964972,19965101,	A0A0B4J2B8	ENST00000338912.5
uc059goo.1	chr15	-	19987655	19988117	19987655	19988117	2	19987655,19988071,	19987968,19988117,	A0A075B7D8	ENST00000558565.2
uc059gop.1	chr15	-	20003839	20003862	20003839	20003862	1	20003839,	20003862,	A0A0G2JLJ8	ENST00000604642.1
uc059goq.1	chr15	-	20004796	20004815	20004796	20004815	1	20004796,	20004815,		ENST00000603326.1
uc059gor.1	chr15	-	20005904	20005935	20005904	20005935	1	20005904,	20005935,	A0A075B7E0	ENST00000604950.1
uc059gos.1	chr15	-	20008401	20008432	20008401	20008432	1	20008401,	20008432,	A0A075B7B9	ENST00000603077.1
uc059got.1	chr15	-	20011152	20011169	20011152	20011169	1	20011152,	20011169,		ENST00000605284.1
uc059gou.1	chr15	-	20095732	20096029	20095732	20095732	1	20095732,	20096029,		ENST00000492309.3
uc059gov.1	chr15	-	20128744	20147953	20128744	20128744	4	20128744,20144868,20145821,20147701,	20128803,20144958,20145992,20147953,		ENST00000553658.1
uc059gow.1	chr15	+	20141793	20146430	20141793	20141793	1	20141793,	20146430,		ENST00000623212.1
uc059gox.1	chr15	+	20344735	20359159	20344735	20344735	2	20344735,20358873,	20344979,20359159,		ENST00000556397.1
uc059goy.1	chr15	+	20349317	20359166	20349317	20349317	2	20349317,20358873,	20349451,20359166,		ENST00000554815.1
uc059goz.1	chr15	+	20352360	20356540	20352360	20352360	2	20352360,20356394,	20353120,20356540,		ENST00000557528.1
uc059gpa.1	chr15	+	20358107	20358181	20358107	20358107	1	20358107,	20358181,		ENST00000581090.1
uc059gpb.1	chr15	-	20531855	20541800	20534258	20541709	9	20531855,20534258,20536341,20536813,20538251,20538453,20538635,20539772,20541547,	20533602,20535689,20536483,20536872,20538358,20538547,20538686,20539901,20541800,	A0A087WWN6	ENST00000619213.1
uc059gpc.1	chr15	+	20570885	20571175	20570885	20570885	1	20570885,	20571175,		ENST00000620768.1
uc021sfa.2	chr15	+	20572046	20572129	20572046	20572046	1	20572046,	20572129,		ENST00000408427.1
uc059gpd.1	chr15	-	20642798	20643448	20642798	20642798	1	20642798,	20643448,		ENST00000613130.1
uc059gpe.1	chr15	+	20658899	20661028	20658899	20658899	1	20658899,	20661028,		ENST00000624672.1
uc059gpf.1	chr15	+	20660759	20664970	20660759	20660759	1	20660759,	20664970,		ENST00000624067.1
uc059gpg.1	chr15	-	20729746	20756183	20729746	20729746	2	20729746,20755929,	20731094,20756183,		ENST00000564214.1
uc059gph.1	chr15	+	20738678	20738785	20738678	20738678	1	20738678,	20738785,		ENST00000459468.1
uc059gpi.1	chr15	-	20755374	20755460	20755374	20755374	1	20755374,	20755460,		ENST00000614036.1
uc059gpk.1	chr15	-	20759310	20774794	20759310	20759310	2	20759310,20774643,	20759907,20774794,		ENST00000559621.1
uc059gpl.1	chr15	+	20773083	20774871	20773083	20773083	2	20773083,20774314,	20773600,20774871,		ENST00000560839.1
uc032bub.1	chr15	+	20832794	20832869	20832794	20832794	1	20832794,	20832869,		ENST00000584700.1
uc010tzf.3	chr15	-	20835371	20866314	20847060	20866281	9	20835371,20837243,20845832,20847044,20854056,20858110,20861041,20861374,20865871,	20835603,20837367,20845999,20847089,20854127,20858217,20861215,20861489,20866314,	Q495V5	ENST00000438063.6
uc031qqz.2	chr15	-	20835371	20866314	20835390	20866281	11	20835371,20837243,20845832,20847044,20848492,20854056,20856635,20858110,20861041,20861374,20865871,	20835603,20837367,20845999,20847089,20848563,20854127,20856773,20858217,20861215,20861489,20866314,	H3BUK9	ENST00000454856.4
uc059gpm.1	chr15	-	20855250	20855357	20855250	20855250	1	20855250,	20855357,		ENST00000459351.1
uc032buc.1	chr15	+	20940251	20940333	20940251	20940251	1	20940251,	20940333,		ENST00000585138.1
uc001ytw.3	chr15	+	20940437	20993303	20940437	20940437	5	20940437,20942374,20972105,20981822,20990619,	20940766,20942560,20972149,20981980,20993303,		ENST00000553416.5
uc059gpn.1	chr15	+	20979019	20990782	20979019	20979019	3	20979019,20981822,20990619,	20979357,20981980,20990782,		ENST00000554817.6
uc059gpo.1	chr15	+	20979046	20991488	20979046	20979046	4	20979046,20981822,20990619,20991290,	20979118,20981980,20990728,20991488,		ENST00000557312.5
uc001ytx.4	chr15	+	20979064	20983414	20979064	20979064	3	20979064,20981822,20983099,	20979118,20981980,20983414,		ENST00000554209.1
uc059gpp.1	chr15	+	20990658	20993271	20990658	20990658	2	20990658,20992936,	20990728,20993271,		ENST00000567916.1
uc059gpq.1	chr15	-	21010493	21010516	21010493	21010516	1	21010493,	21010516,	A0A0G2JLJ8	ENST00000604446.1
uc059gpr.1	chr15	-	21011450	21011469	21011450	21011469	1	21011450,	21011469,		ENST00000603693.1
uc059gps.1	chr15	-	21012558	21012589	21012558	21012589	1	21012558,	21012589,	A0A075B7E0	ENST00000603935.1
uc059gpt.1	chr15	-	21015047	21015078	21015047	21015078	1	21015047,	21015078,	A0A075B7B9	ENST00000604102.1
uc059gpu.1	chr15	-	21017799	21017816	21017799	21017816	1	21017799,	21017816,		ENST00000604838.1
uc059gpv.1	chr15	-	21102842	21103138	21102842	21102842	1	21102842,	21103138,		ENST00000473634.3
uc059gpw.1	chr15	-	21127697	21130095	21127697	21127697	2	21127697,21129879,	21127991,21130095,		ENST00000568414.1
uc059gpx.1	chr15	+	21148333	21152970	21148333	21148333	1	21148333,	21152970,		ENST00000623362.1
uc059gpy.1	chr15	-	21298232	21325241	21298232	21298232	2	21298232,21324987,	21300143,21325241,		ENST00000500487.2
uc059gpz.1	chr15	+	21307748	21307855	21307748	21307748	1	21307748,	21307855,		ENST00000384559.1
uc059gqa.1	chr15	-	21324432	21324518	21324432	21324432	1	21324432,	21324518,		ENST00000618677.1
uc059gqb.1	chr15	-	21328379	21343881	21328379	21328379	2	21328379,21343730,	21328980,21343881,		ENST00000626448.1
uc059gqc.1	chr15	+	21342170	21343958	21342170	21342170	2	21342170,21343401,	21342687,21343958,		ENST00000630916.1
