#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
9	NM_032973	chrY	+	5056089	5742228	5056823	5737942	5	5056089,5098214,5501056,5581774,5737271,	5057459,5100707,5501255,5581798,5742228,	0	PCDH11Y	cmpl	cmpl	0,0,0,1,1,
9	NR_028062	chrY	+	7273971	7381547	7381547	7381547	8	7273971,7303936,7325905,7341114,7356134,7367355,7371742,7375711,	7274478,7304105,7326169,7341234,7356230,7367433,7371889,7381547,	0	PRKY	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
10	NM_001206850	chrY	+	14522607	14843968	14723148	14841262	6	14522607,14719458,14723116,14824187,14829729,14840412,	14522941,14719518,14723269,14824373,14830519,14843968,	0	NLGN4Y	cmpl	cmpl	-1,-1,0,1,1,2,
10	NR_046355	chrY	+	14523504	14843968	14843968	14843968	7	14523504,14622008,14719458,14723116,14824187,14829729,14840412,	14523572,14622591,14719518,14723269,14824373,14830519,14843968,	0	NLGN4Y	unk	unk	-1,-1,-1,-1,-1,-1,-1,
10	NM_014893	chrY	+	14523745	14843968	14622119	14841262	6	14523745,14622020,14723116,14824187,14829729,14840412,	14523898,14622591,14723269,14824373,14830519,14843968,	0	NLGN4Y	cmpl	cmpl	-1,0,1,1,1,2,
10	NR_028319	chrY	+	14524573	14843968	14843968	14843968	6	14524573,14622008,14723116,14824187,14829729,14840412,	14524936,14622591,14723269,14824373,14830519,14843968,	0	NLGN4Y	unk	unk	-1,-1,-1,-1,-1,-1,
10	NM_001164238	chrY	+	14622020	14733549	14622119	14733537	4	14622020,14719458,14723116,14733451,	14622591,14719518,14723269,14733549,	0	NLGN4Y	cmpl	cmpl	0,1,1,1,
11	NR_125736	chrY	-	18872500	19076003	19076003	19076003	5	18872500,18877067,18912367,19068723,19075940,	18872834,18877205,18912482,19068798,19076003,	0	TTTY14	unk	unk	-1,-1,-1,-1,-1,
11	NR_125733	chrY	-	18872500	19077547	19077547	19077547	5	18872500,18932742,18933356,19068723,19077044,	18872834,18932841,18933475,19068798,19077547,	0	TTTY14	unk	unk	-1,-1,-1,-1,-1,
11	NR_125734	chrY	-	18872500	19077547	19077547	19077547	4	18872500,18877067,19068723,19077044,	18872834,18877205,19068798,19077547,	0	TTTY14	unk	unk	-1,-1,-1,-1,
11	NR_125735	chrY	-	18872500	19077547	19077547	19077547	3	18872500,18877067,19077044,	18872834,18877205,19077547,	0	TTTY14	unk	unk	-1,-1,-1,
73	NM_006883	chrY	+	624343	659411	630897	658829	6	624343,630465,634617,640820,640998,658784,	624602,631174,634826,640878,641087,659411,	0	SHOX	cmpl	cmpl	-1,0,1,0,1,0,
74	NM_001173474	chrY	-	1403138	1452977	1403268	1452840	12	1403138,1412731,1417972,1418981,1421657,1425524,1427733,1432268,1435021,1435693,1442185,1452747,	1403489,1412854,1418116,1419114,1421842,1425687,1428121,1432377,1435083,1435758,1442317,1452977,	0	ASMTL	cmpl	cmpl	1,1,1,0,1,0,2,1,2,0,0,0,
