name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
uc064xry.1	chrX	+	281193	288787	284187	288787	4	281193,281481,284166,288732,	281256,281684,284314,288787,	K7EIC3	ENST00000429181.6
uc064xsa.1	chrX	+	283162	288829	284187	288829	3	283162,284166,288732,	283201,284314,288829,	A0A0A0MSZ3	ENST00000443019.6
uc064xrx.1	chrX	+	281054	288869	284187	288869	4	281054,281481,284166,288732,	281121,281684,284314,288869,	A0A0A0MT29	ENST00000445062.6
uc064xsd.1	chrX	+	283733	290757	284187	290757	3	283733,288732,290647,	284314,288869,290757,	A0A0A0MT41	ENST00000448477.6
uc064xrv.1	chrX	+	276323	291537	276323	276323	5	276323,284166,288732,290647,291498,	276394,284314,288869,290792,291537,		ENST00000484611.7
uc064xrw.1	chrX	+	276352	291629	284187	291629	5	276352,284166,288732,290647,291498,	276394,284314,288869,290776,291629,	C9JP92	ENST00000430923.7
uc064xsc.1	chrX	+	283478	291629	284187	291629	5	283478,284166,288732,290647,291498,	283520,284314,288869,290776,291629,	C9JP92	ENST00000447472.6
uc064xsb.1	chrX	+	283464	291639	284187	291639	5	283464,284166,288732,290647,291498,	283488,284314,288869,290776,291639,	X6RFG1	ENST00000415337.6
uc064xru.1	chrX	+	276321	303353	284187	299335	8	276321,281481,284166,288732,290647,291498,293034,299096,	276394,281684,284314,288869,290776,291654,293218,303353,	Q9NUJ7	ENST00000399012.6
uc064xrz.1	chrX	+	281461	303353	284187	299335	8	281461,284166,288732,290647,291498,293034,299096,302836,	281684,284314,288869,290776,291654,293218,299465,303353,	Q9NUJ7	ENST00000381663.8
uc004cpc.4	chrX	+	281191	303356	284187	299335	7	281191,284166,288732,290647,291498,293034,299096,	281684,284314,288869,290776,291654,293218,303356,	Q9NUJ7	ENST00000381657.7
uc064xse.1	chrX	-	304528	312463	304528	304528	4	304528,307359,307731,311418,	305197,307512,307880,312463,		ENST00000485332.7
uc033doq.2	chrX	-	304749	318819	305073	318787	10	304749,307359,307731,311418,312765,314149,314889,315228,316913,318438,	305197,307512,307880,311627,312924,314217,315020,315299,317051,318819,	H0Y2S1	ENST00000326153.9
uc064xsf.1	chrX	+	320989	321851	320989	320989	2	320989,321682,	321248,321851,		ENST00000391707.7
uc064xsg.1	chrX	-	334234	341711	334234	334234	5	334234,338603,338777,340764,341306,	334517,338710,338896,340940,341711,		ENST00000479438.6
uc064xsj.1	chrX	-	340764	345626	340764	340764	4	340764,341306,341882,345515,	340940,341396,342237,345626,		ENST00000484364.6
uc064xsi.1	chrX	-	338612	345629	338612	338612	5	338612,340764,341306,341882,345515,	338896,340940,341396,341931,345629,		ENST00000468169.6
uc064xsk.1	chrX	-	341910	346514	341910	341910	3	341910,345515,346173,	341931,345672,346514,		ENST00000477636.6
uc064xsh.1	chrX	-	334238	347324	334238	334238	8	334238,338777,340764,341306,345515,346173,346700,347233,	338710,338896,340940,341931,345672,346260,346775,347324,		ENST00000477110.6
uc064xsm.1	chrX	-	346719	347838	346719	346719	3	346719,347233,347589,	346775,347336,347838,		ENST00000475859.6
uc064xsl.1	chrX	-	346636	361516	346636	346636	4	346636,347233,347589,361404,	346775,347336,347693,361516,		ENST00000496630.6
uc064xsn.1	chrX	-	347610	374044	347610	373771	3	347610,361404,373531,	347693,361590,374044,	C9JMU6	ENST00000381625.9
uc004cpg.4	chrX	-	333962	386710	334366	386691	13	333962,338603,338777,340764,341306,341882,345515,346173,346700,347233,347589,361404,386367,	334517,338710,338896,340940,341396,341931,345672,346260,346775,347336,347693,361590,386710,	Q9Y5P8	ENST00000390665.8
uc011mha.3	chrX	-	344895	386955	344895	344895	8	344895,346173,346700,347233,347589,361404,362254,386367,	345672,346260,346775,347336,347693,361590,362332,386955,		ENST00000445792.7
uc064xsp.1	chrX	-	388099	388389	388099	388099	1	388099,	388389,		ENST00000610676.5
uc064xso.1	chrX	+	386979	405579	386979	386979	2	386979,405406,	387290,405579,		ENST00000627721.3
uc064xsq.1	chrX	+	419156	421980	419156	419156	2	419156,421671,	419362,421980,		ENST00000627627.3
uc064xsr.1	chrX	+	630806	645568	630897	644636	5	630806,634617,640820,640998,644390,	631174,634826,640878,641087,645568,	O15266	ENST00000554971.6
uc004cph.1	chrX	+	624343	646823	630897	644636	6	624343,630465,634617,640820,640998,644390,	624602,631174,634826,640878,641087,646823,	O15266	ENST00000381578.6
uc004cpi.3	chrX	+	624343	659411	630897	658829	6	624343,630465,634617,640820,640998,658784,	624602,631174,634826,640878,641087,659411,	O15266	ENST00000334060.8
uc064xss.1	chrX	+	630806	659411	630897	658829	5	630806,634617,640820,640998,658784,	631174,634826,640878,641087,659411,	O15266	ENST00000381575.6
uc064xst.1	chrX	+	990220	994365	990220	990220	2	990220,993984,	990427,994365,		ENST00000420865.6
uc004cpl.4	chrX	-	1190896	1212634	1190896	1206445	7	1190896,1193217,1196779,1198561,1202401,1206432,1212555,	1191160,1193302,1196900,1198724,1202535,1206599,1212634,	Q9HC73	ENST00000381567.8
uc064xsu.1	chrX	-	1187548	1212637	1190896	1212634	9	1187548,1190496,1193217,1196779,1198561,1202401,1206432,1208805,1212555,	1187574,1191160,1193302,1196900,1198724,1202535,1206599,1208908,1212637,	Q9HC73	ENST00000381566.6
uc064xsv.1	chrX	-	1190491	1212723	1198926	1212634	8	1190491,1193217,1196779,1198800,1202401,1206432,1208805,1212555,	1191160,1193302,1196900,1199145,1202535,1206599,1208905,1212723,	A0A0C4DH06	ENST00000467626.6
uc022brs.3	chrX	-	1190489	1212750	1190896	1212634	8	1190489,1193217,1196779,1198561,1202401,1206432,1208805,1212555,	1191160,1193302,1196900,1198724,1202535,1206599,1208908,1212750,	Q9HC73	ENST00000400841.7
uc064xta.1	chrX	+	1268834	1282220	1268834	1268834	3	1268834,1274754,1281870,	1268879,1274818,1282220,		ENST00000481245.6
uc064xtc.1	chrX	+	1285651	1288640	1285651	1285651	2	1285651,1288518,	1285920,1288640,		ENST00000477940.6
uc064xtd.1	chrX	+	1288597	1289105	1288597	1288597	2	1288597,1288758,	1288642,1289105,		ENST00000478256.6
uc064xsy.1	chrX	+	1268829	1290427	1282703	1290427	8	1268829,1274754,1282408,1282677,1285777,1288518,1288758,1290336,	1268879,1274818,1282560,1282779,1285920,1288642,1288888,1290427,	J3JS73	ENST00000419094.6
uc064xtf.1	chrX	+	1291754	1291828	1291754	1291754	1	1291754,	1291828,		ENST00000581137.6
uc064xtg.1	chrX	+	1292093	1292167	1292093	1292093	1	1292093,	1292167,		ENST00000580687.6
uc064xth.1	chrX	+	1293614	1293689	1293614	1293614	1	1293614,	1293689,		ENST00000578699.6
uc022bru.1	chrX	+	1293917	1293992	1293917	1293917	1	1293917,	1293992,		ENST00000580266.6
uc064xti.1	chrX	+	1294131	1294206	1294131	1294131	1	1294131,	1294206,		ENST00000583047.6
uc064xsx.1	chrX	+	1268817	1294395	1282703	1294395	7	1268817,1282677,1285777,1288518,1288758,1290336,1294327,	1268879,1282779,1285920,1288642,1288888,1290509,1294395,	J3JS74	ENST00000412290.6
uc064xtj.1	chrX	+	1294224	1295578	1294224	1294224	2	1294224,1295426,	1294461,1295578,		ENST00000491683.6
uc064xtl.1	chrX	-	1300255	1300375	1300255	1300255	1	1300255,	1300375,		ENST00000411342.6
uc064xsw.1	chrX	+	1268813	1300543	1268813	1268813	9	1268813,1274754,1282677,1288518,1288758,1290336,1294327,1295426,1300490,	1268879,1274842,1282779,1288642,1288888,1290509,1294461,1295456,1300543,		ENST00000493312.6
uc011mhb.2	chrX	+	1268831	1305941	1282703	1305735	13	1268831,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1305627,	1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1305941,	P15509	ENST00000381509.8
uc004cpr.3	chrX	+	1282685	1309638	1282703	1305501	10	1282685,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1305445,1309401,	1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1305527,1309638,	P15509	ENST00000381500.6
uc004cpo.3	chrX	+	1268799	1309922	1282703	1309479	13	1268799,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1309401,	1268879,1274818,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1309922,	P15509	ENST00000381529.8
uc064xsz.1	chrX	+	1268831	1309922	1282703	1309868	6	1268831,1274754,1282677,1285777,1287173,1309839,	1268879,1274842,1282779,1285920,1287198,1309922,	V9GYE9	ENST00000494969.7
uc064xte.1	chrX	+	1290452	1309922	1290452	1290452	6	1290452,1294327,1295426,1300490,1302896,1309823,	1290509,1294461,1295456,1300626,1302916,1309922,		ENST00000475259.6
uc004cpp.3	chrX	+	1268844	1309934	1282703	1309589	11	1268844,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1309401,	1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1309934,	P15509	ENST00000355432.8
