#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
0	NM_020806	chr14	+	66507406	67181808	66508527	67180937	23	66507406,66681106,66776463,66824473,66879938,66916002,66922665,66924193,66965190,67023632,67058648,67088982,67100855,67110139,67111860,67113017,67122255,67143361,67159414,67165161,67168932,67179577,67180803,	66508591,66681185,66776521,66824566,66880033,66916069,66922938,66924292,66965325,67023675,67058786,67089075,67100911,67110259,67111919,67113171,67122377,67143449,67159488,67165226,67169036,67179674,67181808,	0	GPHN	cmpl	cmpl	0,1,2,0,0,2,0,0,0,0,1,1,1,0,0,2,0,2,0,2,1,0,1,
0	NM_001024218	chr14	+	66507406	67181808	66508527	67180937	22	66507406,66681106,66776463,66824473,66879938,66916002,66922665,66965190,67023632,67058648,67088982,67100855,67110139,67111860,67113017,67122255,67143361,67159414,67165161,67168932,67179577,67180803,	66508591,66681185,66776521,66824566,66880033,66916069,66922938,66965325,67023675,67058786,67089075,67100911,67110259,67111919,67113171,67122377,67143449,67159488,67165226,67169036,67179674,67181808,	0	GPHN	cmpl	cmpl	0,1,2,0,0,2,0,0,0,1,1,1,0,0,2,0,2,0,2,1,0,1,
1	NM_001165893	chr14	+	32939252	33804176	32939316	33801109	11	32939252,33215181,33367185,33560120,33676210,33735213,33774336,33778465,33793896,33797456,33799733,	32939366,33215426,33367268,33560210,33676385,33735332,33774530,33778572,33794044,33797581,33804176,	0	NPAS3	cmpl	cmpl	0,2,1,0,0,1,0,2,1,2,1,
1	NM_004196	chr14	-	50329590	50395924	50330073	50395871	9	50329590,50332261,50334564,50338946,50341031,50342131,50344985,50359027,50395700,	50330181,50332432,50334621,50339029,50341232,50342222,50345058,50359149,50395924,	0	CDKL1	cmpl	cmpl	0,0,0,1,1,0,2,0,0,
1	NM_022123	chr14	+	32939252	33804176	32939316	33801109	11	32939252,33215181,33367191,33560120,33676210,33735213,33774336,33778465,33793896,33797456,33799733,	32939366,33215426,33367268,33560210,33676385,33735332,33774530,33778572,33794044,33797581,33804176,	0	NPAS3	cmpl	cmpl	0,2,1,0,0,1,0,2,1,2,1,
1	NM_173159	chr14	+	32939252	33804176	32939316	33801109	12	32939252,33215181,33215536,33367185,33560120,33676210,33735213,33774336,33778465,33793896,33797456,33799733,	32939366,33215426,33215587,33367268,33560210,33676385,33735332,33774530,33778572,33794044,33797581,33804176,	0	NPAS3	cmpl	cmpl	0,2,1,1,0,0,1,0,2,1,2,1,
1	NM_001164749	chr14	+	32939252	33804176	32939316	33801109	12	32939252,33055904,33215181,33367185,33560120,33676210,33735213,33774336,33778465,33793896,33797456,33799733,	32939366,33055994,33215426,33367268,33560210,33676385,33735332,33774530,33778572,33794044,33797581,33804176,	0	NPAS3	cmpl	cmpl	0,2,2,1,0,0,1,0,2,1,2,1,
2	NR_024096	chr14	+	100657267	100672744	100672744	100672744	2	100657267,100671560,	100657710,100672744,	0	LINC00523	unk	unk	-1,-1,
11	NR_028100	chr14	+	24115282	24125242	24125242	24125242	14	24115282,24116971,24117265,24117667,24118054,24118387,24118749,24119144,24119558,24119710,24120837,24121364,24122970,24123174,	24115749,24117044,24117393,24117732,24118155,24118534,24118804,24119213,24119616,24119896,24120991,24121517,24123077,24125242,	0	DCAF11	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
11	NM_181357	chr14	+	24115284	24125242	24115594	24123309	15	24115284,24115542,24116971,24117265,24117667,24118054,24118387,24118749,24119144,24119558,24119710,24120837,24121364,24122970,24123174,	24115392,24115726,24117044,24117393,24117732,24118155,24118534,24118804,24119213,24119616,24119896,24120991,24121517,24123077,24125242,	0	DCAF11	cmpl	cmpl	-1,0,0,1,0,2,1,1,2,2,0,0,1,1,0,
11	NR_028099	chr14	+	24114776	24125242	24125242	24125242	14	24114776,24115381,24116916,24117265,24118054,24118387,24118749,24119144,24119558,24119710,24120837,24121364,24122970,24123174,	24115293,24115726,24117044,24117393,24118155,24118534,24118804,24119213,24119616,24119896,24120991,24121517,24123077,24125242,	0	DCAF11	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
11	NM_001163484	chr14	+	24114696	24125242	24115594	24123309	15	24114696,24115542,24116916,24117265,24117667,24118054,24118387,24118749,24119144,24119558,24119710,24120837,24121364,24122970,24123174,	24114924,24115749,24117044,24117393,24117732,24118155,24118534,24118804,24119213,24119616,24119896,24120991,24121517,24123077,24125242,	0	DCAF11	cmpl	cmpl	-1,0,2,1,0,2,1,1,2,2,0,0,1,1,0,
11	NM_014977	chr14	-	23058564	23095614	23059147	23095286	19	23058564,23061083,23061297,23062167,23062415,23062928,23063435,23064104,23064354,23065965,23069475,23078150,23078819,23079546,23081747,23089981,23090521,23093478,23094974,	23059474,23061184,23061622,23062275,23062523,23063074,23063577,23064257,23064488,23066008,23069617,23078266,23079038,23080809,23081836,23090101,23090633,23093544,23095614,	0	ACIN1	cmpl	cmpl	0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,
11	NM_025230	chr14	+	24114776	24125242	24115594	24123309	15	24114776,24115381,24116916,24117265,24117667,24118054,24118387,24118749,24119144,24119558,24119710,24120837,24121364,24122970,24123174,	24115293,24115749,24117044,24117393,24117732,24118155,24118534,24118804,24119213,24119616,24119896,24120991,24121517,24123077,24125242,	0	DCAF11	cmpl	cmpl	-1,0,2,1,0,2,1,1,2,2,0,0,1,1,0,
11	NM_001164817	chr14	-	23058564	23071570	23059147	23071147	13	23058564,23061083,23061297,23062167,23062415,23062928,23063435,23064104,23064354,23065965,23069475,23071124,23071426,	23059474,23061184,23061622,23062275,23062523,23063074,23063577,23064257,23064488,23066008,23069617,23071186,23071570,	0	ACIN1	cmpl	cmpl	0,1,0,0,0,1,0,0,1,0,2,0,-1,
